sep=,
Type,FSVA3013,
Version,1.40,
Date,11.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,73.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,1.000000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,5000,
1000500000,17.21664489746093807,
1001500000,13.630421447753907,
1002500000,13.05110069274902251,
1003500000,13.51220626831054794,
1004500000,12.930000610351563,
1005500000,12.43807868957519425,
1006500000,11.89308357238769531,
1007500000,12.1637934875488281,
1008500000,12.2072937011719,
1009500000,12.91479904174804716,
1010500000,12.3763658142089845,
1011500000,12.6562652587890625,
1012500000,13.54450988769531250,
1013500000,12.729740295410156,
1014500000,12.67651222229003949,
1015500000,12.26110420227050923,
1016500000,13.082008972167969,
1017500000,13.30665290832519609,
1018500000,12.53236503601074325,
1019500000,13.33026885986328125,
1020500000,13.245526428222655,
1021500000,13.95318008422851541,
1022500000,13.4684184265136722,
1023500000,13.748341369628907,
1024500000,13.00759140014648452,
1025500000,13.13851547241210938,
1026500000,12.5416784667969,
1027500000,12.4127999877929689,
1028500000,13.42211494445800923,
1029500000,12.3996482849121108,
1030500000,12.60078369140624943,
1031500000,13.694828796386719,
1032500000,13.37632484436035263,
1033500000,12.6807403564453125,
1034500000,12.3223051452636714,
1035500000,11.6072157287597655,
1036500000,12.207399902343750,
1037500000,11.74971839904785220,
1038500000,11.04142822265624879,
1039500000,11.659121093750,
1040500000,10.41855278015136754,
1041500000,10.07043342590332102,
1042500000,10.46232078552246136,
1043500000,10.12569419860839837,
1044500000,10.03175758361816428,
1045500000,9.7918699645996092,
1046500000,9.8671875,
1047500000,10.0076751708984375,
1048500000,10.48594093322753906,
1049500000,10.1708885192871090,
1050500000,10.98383216857910227,
1051500000,11.03979606628418075,
1052500000,10.494066467285156,
1053500000,9.854641113281,
1054500000,9.8330712890625005,
1055500000,13.162969665527344,
1056500000,9.72772132873535078,
1057500000,9.2109375000,
1058500000,9.8049710083007806,
1059500000,10.532825012207031,
1060500000,11.49657127380371158,
1061500000,16.6064367675781241,
1062500000,14.59713134765624964,
1063500000,12.81097412109375,
1064500000,10.63356781005859375,
1065500000,9.69297424316406264,
1066500000,9.09188461303710938,
1067500000,9.1165457153320322,
1068500000,9.03092765808105469,
1069500000,8.3609886169433594,
1070500000,8.4533851623535163,
1071500000,8.47181831359863224,
1072500000,8.89789543151855433,
1073500000,9.25460052490234375,
1074500000,8.48007965087890625,
1075500000,7.8789697265624996,
1076500000,8.53984634399414055,
1077500000,8.40213195800781,
1078500000,8.45373359680175795,
1079500000,8.2672097778320310,
1080500000,8.2923527526855469,
1081500000,8.775714416503906,
1082500000,8.4129304504394522,
1083500000,8.22086509704589830,
1084500000,7.9825241088867189,
1085500000,7.9163684082031249,
1086500000,7.7276875305175787,
1087500000,7.33162353515624954,
1088500000,7.63790672302246154,
1089500000,6.88116691589355423,
1090500000,7.1404142761230469,
1091500000,7.2958831787109375,
1092500000,6.6454541015624997,
1093500000,7.23754325866699233,
1094500000,7.64047966003418022,
1095500000,8.4957426452636717,
1096500000,8.41906745910644538,
1097500000,8.82551940917968736,
1098500000,8.57115562438964851,
1099500000,7.90257019042968789,
1100500000,6.407095031738281,
1101500000,6.38627700805664045,
1102500000,6.51712799072265625,
1103500000,6.71344871520996112,
1104500000,6.63292350769043004,
1105500000,5.97237396240234375,
1106500000,6.108700561523437,
1107500000,5.57352592468261676,
1108500000,5.35664794921874954,
1109500000,5.244684143066406,
1110500000,5.51982353210449261,
1111500000,5.33565406799316477,
1112500000,5.2464901733398435,
1113500000,5.48601097106933633,
1114500000,5.33080291748046875,
1115500000,5.570449219,
1116500000,5.35391716003417972,
1117500000,5.40004135131835916,
1118500000,5.6643649291992189,
1119500000,5.7000997924804686,
1120500000,5.98284851074218782,
1121500000,5.96068382263183594,
1122500000,6.3971397399902346,
1123500000,9.18231697082519638,
1124500000,20.831330566406,
1125500000,12.813230895996094,
1126500000,6.4817483520507810,
1127500000,6.38752120971679727,
1128500000,6.57094253540039031,
1129500000,6.51365043640136676,
1130500000,6.334543762207031,
1131500000,6.23634521484374993,
1132500000,6.51766868591308590,
1133500000,7.18356628417969,
1134500000,6.4735107421875000,
1135500000,7.14294319152832102,
1136500000,6.8354454040527353,
1137500000,7.372917785644532,
1138500000,7.174700622558594,
1139500000,6.76713981628417915,
1140500000,7.051555786132813,
1141500000,7.410417480469,
1142500000,6.99029731750488370,
1143500000,7.19409416198730423,
1144500000,7.10805511474609375,
1145500000,6.78557373046874979,
1146500000,7.06341552734375,
1147500000,6.98065864562988292,
1148500000,6.6771717834472657,
1149500000,6.7388232421874994,
1150500000,6.993066406,
1151500000,6.68954704284667923,
1152500000,6.99605598449707067,
1153500000,6.67058563232421875,
1154500000,6.4583309936523436,
1155500000,6.33678703308105451,
1156500000,7.71316589355469,
