sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,43.191059112548828125,
163500,36.47537994384765625,
172500,34.48004913330078125,
181500,32.66861724853515625,
190500,39.15340423583984375,
199500,41.64795684814453125,
208500,36.86331939697265625,
217500,34.07624053955078125,
226500,32.49074554443359375,
235500,40.90966796875,
244500,36.69100189208984375,
253500,37.23004150390625,
262500,38.1951751708984375,
271500,42.47396087646484375,
280500,41.41827392578125,
289500,43.373950958251953125,
298500,38.401519775390625,
307500,39.46966552734375,
316500,47.759593963623046875,
325500,38.56772613525390625,
334500,35.5636749267578125,
343500,26.34548187255859375,
352500,40.58867645263671875,
361500,38.1801300048828125,
370500,37.0505828857421875,
379500,29.19214630126953125,
388500,30.09039306640625,
397500,36.1307525634765625,
406500,34.0235748291015625,
415500,31.44643402099609375,
424500,29.0406494140625,
433500,30.158416748046875,
442500,29.8511962890625,
451500,32.896331787109375,
460500,30.40740966796875,
469500,27.44428253173828125,
478500,31.4028778076171875,
487500,36.76905059814453125,
496500,30.34790802001953125,
505500,29.3612823486328125,
514500,29.1350555419921875,
523500,31.98903656005859375,
532500,34.173126220703125,
541500,29.0394744873046875,
550500,30.77141571044921875,
559500,33.85607147216796875,
568500,34.2340545654296875,
577500,30.907196044921875,
586500,30.23931121826171875,
595500,37.94805908203125,
604500,32.05791473388671875,
613500,32.42311859130859375,
622500,27.03253936767578125,
631500,35.75144195556640625,
640500,37.05609130859375,
649500,31.00238800048828125,
658500,30.02388763427734375,
667500,30.3560791015625,
676500,38.53560638427734375,
685500,30.812652587890625,
694500,29.54964447021484375,
703500,31.27857208251953125,
712500,39.51495361328125,
721500,38.40216827392578125,
730500,32.9647674560546875,
739500,28.34000396728515625,
748500,34.2264862060546875,
757500,42.65953826904296875,
766500,34.10199737548828125,
775500,30.14125823974609375,
784500,30.51551055908203125,
793500,42.23076629638671875,
802500,39.12088775634765625,
811500,35.89633941650390625,
820500,30.08882904052734375,
829500,35.14289093017578125,
838500,42.35216522216796875,
847500,39.2848968505859375,
856500,35.0319976806640625,
865500,33.00913238525390625,
874500,42.00272369384765625,
883500,41.58097076416015625,
892500,42.40200042724609375,
901500,36.95342254638671875,
910500,36.53726959228515625,
919500,40.70241546630859375,
928500,40.30109405517578125,
937500,36.03879547119140625,
946500,36.27655792236328125,
955500,34.38184356689453125,
964500,33.31406402587890625,
973500,35.74187469482421875,
982500,30.90093231201171875,
991500,31.97853851318359375,
1000500,34.59920501708984375,
1009500,32.69766998291015625,
1018500,26.8373260498046875,
1027500,24.958099365234375,
1036500,34.44562530517578125,
1045500,26.0797576904296875,
1054500,25.08148193359375,
1063500,21.0213165283203125,
1072500,29.31017303466796875,
1081500,29.66211700439453125,
1090500,21.48586273193359375,
1099500,17.4280242919921875,
1108500,20.70752716064453125,
1117500,30.54825592041015625,
1126500,19.114715576171875,
1135500,15.4785919189453125,
1144500,16.81333160400390625,
1153500,26.235748291015625,
1162500,24.59636688232421875,
1171500,17.1779632568359375,
1180500,17.12781524658203125,
1189500,16.88603973388671875,
1198500,24.40351104736328125,
1207500,15.7929840087890625,
1216500,14.400665283203125,
1225500,15.53092193603515625,
1234500,21.1227264404296875,
1243500,18.578369140625,
1252500,15.23159027099609375,
1261500,16.11397552490234375,
1270500,15.57579803466796875,
1279500,20.18491363525390625,
1288500,15.41918182373046875,
1297500,12.20767974853515625,
1306500,11.9320526123046875,
1315500,17.7438507080078125,
1324500,14.85771942138671875,
1333500,14.8416748046875,
1342500,12.2723846435546875,
1351500,9.9627838134765625,
1360500,11.38405609130859375,
1369500,14.82773590087890625,
1378500,10.60926055908203125,
1387500,9.45798492431640625,
1396500,11.8293914794921875,
1405500,11.17282867431640625,
1414500,14.054595947265625,
1423500,17.16213226318359375,
1432500,15.1389007568359375,
1441500,16.03740692138671875,
1450500,13.83789825439453125,
1459500,18.10196685791015625,
1468500,20.955230712890625,
1477500,22.973602294921875,
1486500,14.455535888671875,
1495500,13.72027587890625,
1504500,16.57312774658203125,
1513500,22.48120880126953125,
1522500,22.67024993896484375,
1531500,18.13080596923828125,
1540500,13.66553497314453125,
1549500,16.49283599853515625,
1558500,25.13217926025390625,
1567500,18.3099212646484375,
1576500,17.88002777099609375,
1585500,20.11699676513671875,
1594500,25.7805633544921875,
1603500,24.62758636474609375,
1612500,21.09908294677734375,
1621500,17.81246185302734375,
1630500,19.74242401123046875,
1639500,25.38150787353515625,
1648500,22.1810455322265625,
1657500,19.52468109130859375,
1666500,16.39350128173828125,
1675500,22.23545074462890625,
1684500,20.63188934326171875,
1693500,19.7702178955078125,
1702500,16.75885009765625,
1711500,17.4930877685546875,
1720500,21.30924224853515625,
