sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,87.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,705,
9100,14.59085845947265625,
9300,16.28734588623046875,
9500,18.31253814697265625,
9700,20.4915313720703125,
9900,22.65802001953125,
10100,25.05646514892578125,
10300,24.230224609375,
10500,18.74912261962890625,
10700,16.32288360595703125,
10900,15.15552520751953125,
11100,15.5879364013671875,
11300,14.974395751953125,
11500,19.10039520263671875,
11700,20.861541748046875,
11900,19.28018951416015625,
12100,21.10955047607421875,
12300,22.69593048095703125,
12500,23.88372802734375,
12700,24.3194580078125,
12900,29.430938720703125,
13100,36.42132568359375,
13300,40.23850250244140625,
13500,30.87914276123046875,
13700,24.01679229736328125,
13900,21.4476470947265625,
14100,20.47592926025390625,
14300,17.50278472900390625,
14500,15.93309783935546875,
14700,15.36655426025390625,
14900,14.0982208251953125,
15100,9.984100341796875,
15300,13.2507781982421875,
15500,12.76671600341796875,
15700,12.91072845458984375,
15900,11.06452178955078125,
16100,10.47991943359375,
16300,11.48322296142578125,
16500,13.48015594482421875,
16700,24.65090179443359375,
16900,22.198394775390625,
17100,13.1458892822265625,
17300,13.62445831298828125,
17500,16.368377685546875,
17700,16.6133575439453125,
17900,19.79811859130859375,
18100,21.95842742919921875,
18300,31.3046722412109375,
18500,36.45868682861328125,
18700,30.3329315185546875,
18900,24.84893798828125,
19100,23.79236602783203125,
19300,23.05764007568359375,
19500,21.47052764892578125,
19700,21.2942962646484375,
19900,23.48975372314453125,
20100,22.9358978271484375,
20300,25.9148406982421875,
20500,29.01006317138671875,
20700,29.8402862548828125,
20900,28.73566436767578125,
21100,28.164276123046875,
21300,32.8415985107421875,
21500,37.9727630615234375,
21700,43.66413116455078125,
21900,61.906291961669921875,
22100,62.677066802978515625,
22300,49.140857696533203125,
22500,39.9170989990234375,
22700,36.85802459716796875,
22900,32.4104766845703125,
23100,34.861114501953125,
23300,32.6605377197265625,
23500,34.28374481201171875,
23700,28.1050872802734375,
23900,25.44091033935546875,
24100,27.4841766357421875,
24300,26.987274169921875,
24500,28.899871826171875,
24700,26.69071197509765625,
24900,27.48261260986328125,
25100,26.0469970703125,
25300,25.68190765380859375,
25500,24.84659576416015625,
25700,22.23233795166015625,
25900,21.6478118896484375,
26100,19.00946044921875,
26300,17.886871337890625,
26500,30.7570343017578125,
26700,33.987213134765625,
26900,18.458282470703125,
27100,17.75531005859375,
27300,16.414794921875,
27500,16.98378753662109375,
27700,16.735260009765625,
27900,17.6083526611328125,
28100,18.22101593017578125,
28300,16.92615509033203125,
28500,14.576171875,
28700,16.52886199951171875,
28900,18.36753082275390625,
29100,17.189910888671875,
29300,18.610382080078125,
29500,16.9207000732421875,
29700,17.17621612548828125,
29900,16.6659088134765625,
30100,15.99845123291015625,
30300,15.36191558837890625,
30500,13.19815826416015625,
30700,14.314971923828125,
30900,16.5125579833984375,
31100,14.64492034912109375,
31300,14.85950469970703125,
31500,15.75464630126953125,
31700,15.04268646240234375,
31900,12.66338348388671875,
32100,13.95732879638671875,
32300,12.78418731689453125,
32500,12.24514007568359375,
32700,13.59822845458984375,
32900,14.14913177490234375,
33100,14.06914520263671875,
33300,13.64583587646484375,
33500,14.95864105224609375,
33700,14.99040985107421875,
33900,12.72486114501953125,
34100,14.15399932861328125,
34300,12.5026092529296875,
34500,12.773895263671875,
34700,11.9789886474609375,
34900,12.3868865966796875,
35100,14.45117950439453125,
35300,23.33028411865234375,
35500,25.36440277099609375,
35700,15.02532196044921875,
35900,12.03351593017578125,
36100,11.30463409423828125,
36300,11.6488037109375,
36500,12.0180511474609375,
36700,11.4379425048828125,
36900,18.72246551513671875,
37100,26.78092193603515625,
37300,24.82605743408203125,
37500,13.31111907958984375,
37700,11.4761962890625,
37900,14.63836669921875,
38100,14.288787841796875,
38300,11.8037567138671875,
38500,11.13784027099609375,
38700,11.559295654296875,
38900,13.96543121337890625,
39100,12.0898895263671875,
39300,12.99631500244140625,
39500,11.04505157470703125,
39700,11.1013946533203125,
39900,30.1981201171875,
40100,30.8849029541015625,
40300,12.83188629150390625,
40500,12.78400421142578125,
40700,11.66706085205078125,
40900,13.232696533203125,
41100,13.27774810791015625,
41300,13.78444671630859375,
41500,12.50017547607421875,
41700,13.8865966796875,
41900,17.37699127197265625,
42100,17.41652679443359375,
42300,16.703369140625,
42500,17.273956298828125,
42700,17.96887969970703125,
42900,20.24561309814453125,
43100,22.806854248046875,
43300,26.60968017578125,
43500,28.96219635009765625,
43700,32.6483917236328125,
43900,39.25292205810546875,
44100,47.74008941650390625,
44300,46.229396820068359375,
44500,35.64263916015625,
44700,32.491485595703125,
44900,25.24369049072265625,
45100,16.949493408203125,
45300,16.808135986328125,
45500,18.3786163330078125,
