sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,41.95478057861328125,
163500,36.12586212158203125,
172500,37.95447540283203125,
181500,33.4227142333984375,
190500,38.072998046875,
199500,40.6244354248046875,
208500,38.231414794921875,
217500,37.0047760009765625,
226500,33.62261962890625,
235500,41.22768402099609375,
244500,37.08831787109375,
253500,40.8589324951171875,
262500,39.4492645263671875,
271500,41.76904296875,
280500,42.5780792236328125,
289500,45.120258331298828125,
298500,43.061187744140625,
307500,41.3800201416015625,
316500,46.644680023193359375,
325500,39.38995361328125,
334500,38.10134124755859375,
343500,31.260528564453125,
352500,38.822479248046875,
361500,37.90962982177734375,
370500,38.35979461669921875,
379500,34.34825897216796875,
388500,31.7363128662109375,
397500,35.84285736083984375,
406500,35.24027252197265625,
415500,34.38372802734375,
424500,29.92250823974609375,
433500,30.98697662353515625,
442500,31.7003173828125,
451500,36.11456298828125,
460500,32.89234161376953125,
469500,28.63739776611328125,
478500,32.18466949462890625,
487500,36.06185150146484375,
496500,34.89118194580078125,
505500,30.54300689697265625,
514500,31.24475860595703125,
523500,32.21755218505859375,
532500,36.622802734375,
541500,32.9916839599609375,
550500,31.48657989501953125,
559500,33.407440185546875,
568500,33.44156646728515625,
577500,34.560028076171875,
586500,28.7963714599609375,
595500,36.7035369873046875,
604500,32.13741302490234375,
613500,35.07335662841796875,
622500,32.44600677490234375,
631500,34.80506134033203125,
640500,35.69915008544921875,
649500,31.22066497802734375,
658500,30.848724365234375,
667500,28.39156341552734375,
676500,37.71141815185546875,
685500,33.4161529541015625,
694500,32.733062744140625,
703500,33.03133392333984375,
712500,38.18853759765625,
721500,36.82244110107421875,
730500,33.56702423095703125,
739500,33.22922515869140625,
748500,34.083343505859375,
757500,40.84777069091796875,
766500,34.6885986328125,
775500,33.14049530029296875,
784500,32.7359466552734375,
793500,41.5415802001953125,
802500,38.56377410888671875,
811500,38.3025054931640625,
820500,33.893951416015625,
829500,35.3520355224609375,
838500,41.85488128662109375,
847500,40.82704925537109375,
856500,38.06781005859375,
865500,36.1264495849609375,
874500,41.4125213623046875,
883500,42.0406036376953125,
892500,44.60393524169921875,
901500,41.4686279296875,
910500,37.66619110107421875,
919500,39.3290863037109375,
928500,43.1524810791015625,
937500,41.571807861328125,
946500,38.3506622314453125,
955500,36.2079620361328125,
964500,36.98096466064453125,
973500,39.95489501953125,
982500,33.76416778564453125,
991500,31.94834136962890625,
1000500,34.59497833251953125,
1009500,33.1258392333984375,
1018500,30.03929901123046875,
1027500,26.72304534912109375,
1036500,33.00800323486328125,
1045500,26.30886077880859375,
1054500,26.5963287353515625,
1063500,24.287689208984375,
1072500,28.93361663818359375,
1081500,29.387054443359375,
1090500,21.02655792236328125,
1099500,20.9196014404296875,
1108500,20.62667083740234375,
1117500,28.2957305908203125,
1126500,17.43112945556640625,
1135500,17.29041290283203125,
1144500,19.888946533203125,
1153500,25.09201812744140625,
1162500,24.07403564453125,
1171500,15.04150390625,
1180500,19.0338134765625,
1189500,18.99908447265625,
1198500,23.93030548095703125,
1207500,16.55469512939453125,
1216500,17.03725433349609375,
1225500,17.62477874755859375,
1234500,21.406219482421875,
1243500,18.3268280029296875,
1252500,15.800506591796875,
1261500,16.32828521728515625,
1270500,12.79669189453125,
1279500,16.00588226318359375,
1288500,14.19660186767578125,
1297500,15.09283447265625,
1306500,15.2003173828125,
1315500,14.7065887451171875,
1324500,12.48908233642578125,
1333500,13.328155517578125,
1342500,11.18515777587890625,
1351500,11.3624725341796875,
1360500,12.07247161865234375,
1369500,15.68292999267578125,
1378500,14.21820068359375,
1387500,10.9446563720703125,
1396500,14.1623382568359375,
1405500,11.67925262451171875,
1414500,16.17908477783203125,
1423500,18.2679290771484375,
1432500,13.807891845703125,
1441500,14.9905548095703125,
1450500,15.4114990234375,
1459500,18.5610809326171875,
1468500,21.53382110595703125,
1477500,19.287078857421875,
1486500,11.5177459716796875,
1495500,15.2305755615234375,
1504500,18.85102081298828125,
1513500,19.806121826171875,
1522500,21.80518341064453125,
1531500,19.1559906005859375,
1540500,18.3659210205078125,
1549500,16.85527801513671875,
1558500,23.9420013427734375,
1567500,17.3115692138671875,
1576500,20.27031707763671875,
1585500,22.04742431640625,
1594500,24.13909149169921875,
1603500,21.9263153076171875,
1612500,19.87941741943359375,
1621500,20.55690765380859375,
1630500,21.29947662353515625,
1639500,24.8997344970703125,
1648500,18.266754150390625,
1657500,21.61983489990234375,
1666500,18.23081207275390625,
1675500,22.62204742431640625,
1684500,22.32102203369140625,
1693500,20.55912017822265625,
1702500,17.96120452880859375,
1711500,19.01871490478515625,
1720500,21.686370849609375,
1729500,19.7015380859375,
