sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,12.88205718994140625,
163500,14.16123199462890625,
172500,9.97849273681640625,
181500,14.30313873291015625,
190500,12.46720123291015625,
199500,7.36629486083984375,
208500,8.668060302734375,
217500,13.955810546875,
226500,12.1475830078125,
235500,16.65576934814453125,
244500,12.96878814697265625,
253500,15.1619415283203125,
262500,9.53749847412109375,
271500,13.2055511474609375,
280500,9.30818939208984375,
289500,9.80631256103515625,
298500,12.17955780029296875,
307500,11.5254364013671875,
316500,12.6951751708984375,
325500,14.477020263671875,
334500,10.4405670166015625,
343500,6.21366119384765625,
352500,11.5940704345703125,
361500,9.89128875732421875,
370500,7.98812103271484375,
379500,11.7554931640625,
388500,12.45221710205078125,
397500,7.34781646728515625,
406500,5.7767791748046875,
415500,3.87580108642578125,
424500,6.2457427978515625,
433500,6.50888824462890625,
442500,10.4563751220703125,
451500,12.929931640625,
460500,8.6445770263671875,
469500,9.836517333984375,
478500,8.157623291015625,
487500,7.87265777587890625,
496500,6.3148345947265625,
505500,6.21624755859375,
514500,9.11837005615234375,
523500,8.32884979248046875,
532500,7.2130889892578125,
541500,2.760284423828125,
550500,6.83824920654296875,
559500,2.66188812255859375,
568500,6.00662994384765625,
577500,8.001739501953125,
586500,8.381103515625,
595500,8.8142242431640625,
604500,8.760040283203125,
613500,10.67236328125,
622500,5.77855682373046875,
631500,8.52777862548828125,
640500,9.10980224609375,
649500,9.38494110107421875,
658500,8.8008575439453125,
667500,7.4054718017578125,
676500,7.47186279296875,
685500,5.9846343994140625,
694500,5.15363311767578125,
703500,5.74883270263671875,
712500,8.1064910888671875,
721500,6.3608856201171875,
730500,5.7168731689453125,
739500,3.3410797119140625,
748500,0.0181732177734375,
757500,5.930023193359375,
766500,4.27872467041015625,
775500,6.014862060546875,
784500,5.705169677734375,
793500,7.1660919189453125,
802500,6.9861602783203125,
811500,5.27513885498046875,
820500,1.89330291748046875,
829500,6.95252227783203125,
838500,8.937469482421875,
847500,9.44683074951171875,
856500,5.910247802734375,
865500,3.64269256591796875,
874500,5.658966064453125,
883500,8.25604248046875,
892500,10.61215972900390625,
901500,7.29927825927734375,
910500,7.28157806396484375,
919500,4.98915863037109375,
928500,12.21315765380859375,
937500,6.93894195556640625,
946500,4.99634552001953125,
955500,2.872100830078125,
964500,4.387359619140625,
973500,5.9957427978515625,
982500,3.16613006591796875,
991500,0.0604705810546875,
1000500,3.2545013427734375,
1009500,2.452880859375,
1018500,1.277740478515625,
1027500,1.20467376708984375,
1036500,2.83573150634765625,
1045500,-1.5601348876953125,
1054500,0.91129302978515625,
1063500,-1.08252716064453125,
1072500,4.73406219482421875,
1081500,2.5927734375,
1090500,-1.73332977294921875,
1099500,-0.58388519287109375,
1108500,2.00666046142578125,
1117500,0.8134002685546875,
1126500,-2.0840301513671875,
1135500,-1.65406036376953125,
1144500,-3.423004150390625,
1153500,-3.0369110107421875,
1162500,-3.26943206787109375,
1171500,-3.5225830078125,
1180500,-1.53591156005859375,
1189500,-0.6295928955078125,
1198500,-1.5047607421875,
1207500,2.3385162353515625,
1216500,-0.4599151611328125,
1225500,4.59075164794921875,
1234500,-1.0158538818359375,
1243500,-2.27816009521484375,
1252500,-1.9217681884765625,
1261500,-2.18935394287109375,
1270500,-0.69708251953125,
1279500,-1.91168975830078125,
1288500,-3.62868499755859375,
1297500,-4.98976898193359375,
1306500,-0.77362060546875,
1315500,-2.964019775390625,
1324500,-1.96630859375,
1333500,-4.24013519287109375,
1342500,1.87226104736328125,
1351500,0.83404541015625,
1360500,-2.8610992431640625,
1369500,-1.4476318359375,
1378500,-0.67301177978515625,
1387500,-0.92218017578125,
1396500,-3.96450042724609375,
1405500,-3.20916748046875,
1414500,-3.01018524169921875,
1423500,0.0979156494140625,
1432500,-3.1631011962890625,
1441500,-4.171478271484375,
1450500,-4.47557830810546875,
1459500,-3.95400238037109375,
1468500,-1.219696044921875,
1477500,1.41545867919921875,
1486500,0.56919097900390625,
1495500,-3.11664581298828125,
1504500,-3.43972015380859375,
1513500,-0.44794464111328125,
1522500,-0.3142852783203125,
1531500,-1.66590118408203125,
1540500,-1.51346588134765625,
1549500,-2.95770263671875,
1558500,0.39426422119140625,
1567500,-0.79637908935546875,
1576500,-1.5396575927734375,
1585500,-1.06912994384765625,
1594500,-0.80295562744140625,
1603500,-1.56252288818359375,
1612500,-0.61040496826171875,
1621500,-1.6526947021484375,
1630500,-2.5278167724609375,
1639500,-0.451507568359375,
1648500,-0.3900604248046875,
1657500,0.950347900390625,
1666500,0.20311737060546875,
1675500,-1.744781494140625,
1684500,-4.5224151611328125,
1693500,-3.17133331298828125,
