sep=,
Type,FSVA3013,
Version,1.40,
Date,19.Oct 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,32.78509521484375,
163500,23.77909088134765625,
172500,33.4913482666015625,
181500,47.69963836669921875,
190500,36.5550994873046875,
199500,27.8446044921875,
208500,32.6785125732421875,
217500,27.4403076171875,
226500,43.552417755126953125,
235500,37.9747467041015625,
244500,21.02144622802734375,
253500,28.050323486328125,
262500,21.10190582275390625,
271500,43.443695068359375,
280500,41.76088714599609375,
289500,22.24109649658203125,
298500,26.33734130859375,
307500,30.36771392822265625,
316500,41.4197845458984375,
325500,35.8931121826171875,
334500,17.4434967041015625,
343500,18.16994476318359375,
352500,29.84156036376953125,
361500,29.90857696533203125,
370500,31.50594329833984375,
379500,18.62778472900390625,
388500,18.4592742919921875,
397500,24.12586212158203125,
406500,17.88854217529296875,
415500,31.67774200439453125,
424500,18.96030426025390625,
433500,14.27691650390625,
442500,18.799896240234375,
451500,19.7980194091796875,
460500,30.2944183349609375,
469500,18.88838958740234375,
478500,19.15966796875,
487500,18.5099945068359375,
496500,18.50438690185546875,
505500,35.40067291259765625,
514500,31.35930633544921875,
523500,22.735260009765625,
532500,17.2858428955078125,
541500,15.006622314453125,
550500,35.81766510009765625,
559500,36.95375823974609375,
568500,15.68013763427734375,
577500,20.82720947265625,
586500,15.31426239013671875,
595500,30.47103118896484375,
604500,34.53467559814453125,
613500,18.17688751220703125,
622500,21.89313507080078125,
631500,24.84656524658203125,
640500,34.85172271728515625,
649500,41.480316162109375,
658500,26.03951263427734375,
667500,22.858184814453125,
676500,30.79792022705078125,
685500,27.3648681640625,
694500,41.253631591796875,
703500,32.20848846435546875,
712500,30.40009307861328125,
721500,29.6768798828125,
730500,11.78582000732421875,
739500,30.84549713134765625,
748500,29.21836090087890625,
757500,30.7616119384765625,
766500,20.08786773681640625,
775500,8.339324951171875,
784500,29.36377716064453125,
793500,26.63155364990234375,
802500,21.8951873779296875,
811500,18.31858062744140625,
820500,13.33110809326171875,
829500,22.9492645263671875,
838500,26.30069732666015625,
847500,17.59844207763671875,
856500,13.83171844482421875,
865500,14.5582275390625,
874500,26.96678924560546875,
883500,24.87481689453125,
892500,16.06623077392578125,
901500,13.322357177734375,
910500,22.25034332275390625,
919500,27.38715362548828125,
928500,27.946868896484375,
937500,16.951324462890625,
946500,16.5114288330078125,
955500,23.3008575439453125,
964500,27.31531524658203125,
973500,31.915618896484375,
982500,21.49797821044921875,
991500,21.46587371826171875,
1000500,24.64975738525390625,
1009500,18.87819671630859375,
1018500,31.09233856201171875,
1027500,26.312103271484375,
1036500,26.1467132568359375,
1045500,22.9092254638671875,
1054500,18.4278564453125,
1063500,30.495147705078125,
1072500,28.74887847900390625,
1081500,20.60870361328125,
1090500,11.85001373291015625,
1099500,11.37419891357421875,
1108500,23.66363525390625,
1117500,33.95215606689453125,
1126500,21.7147064208984375,
1135500,18.509063720703125,
1144500,21.39092254638671875,
1153500,26.68579864501953125,
1162500,31.045166015625,
1171500,19.7658233642578125,
1180500,24.797271728515625,
1189500,15.4439849853515625,
1198500,27.8046112060546875,
1207500,18.607513427734375,
1216500,16.99176788330078125,
1225500,31.27382659912109375,
1234500,26.6549530029296875,
1243500,24.15236663818359375,
1252500,17.457794189453125,
1261500,14.66088104248046875,
1270500,25.90938568115234375,
1279500,25.23946380615234375,
1288500,21.86993408203125,
1297500,23.971282958984375,
1306500,29.0382537841796875,
1315500,36.136322021484375,
1324500,22.68401336669921875,
1333500,6.669464111328125,
1342500,26.42490386962890625,
1351500,29.35517120361328125,
1360500,18.25449371337890625,
1369500,13.53192138671875,
1378500,14.1818695068359375,
1387500,24.84467315673828125,
1396500,37.49472808837890625,
1405500,41.34226226806640625,
1414500,25.7170867919921875,
1423500,14.9766082763671875,
1432500,27.7591400146484375,
1441500,29.10384368896484375,
1450500,24.5715789794921875,
1459500,19.9638214111328125,
1468500,19.53284454345703125,
1477500,34.4777984619140625,
1486500,40.26104736328125,
1495500,40.2526702880859375,
1504500,20.53814697265625,
1513500,34.9148406982421875,
1522500,36.2325439453125,
1531500,31.38191986083984375,
1540500,33.5037384033203125,
1549500,28.551910400390625,
1558500,40.09992218017578125,
1567500,29.5113067626953125,
1576500,35.10807037353515625,
1585500,26.26403045654296875,
1594500,38.4302825927734375,
1603500,36.62493896484375,
1612500,19.7691650390625,
1621500,24.25287628173828125,
1630500,26.63098907470703125,
1639500,36.66564178466796875,
1648500,21.50795745849609375,
1657500,21.3130645751953125,
1666500,36.45487213134765625,
1675500,30.85746002197265625,
1684500,26.7214202880859375,
1693500,15.32112884521484375,
1702500,22.55426025390625,
1711500,27.6559600830078125,
1720500,24.98165130615234375,
1729500,19.30912017822265625,
