sep=,
Type,FSVA3013,
Version,1.40,
Date,19.Oct 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,29.81011199951171875,
163500,36.34549713134765625,
172500,56.59860992431640625,
181500,53.9392852783203125,
190500,26.73615264892578125,
199500,23.21306610107421875,
208500,30.1586151123046875,
217500,50.64780426025390625,
226500,49.1792755126953125,
235500,23.70813751220703125,
244500,20.45568084716796875,
253500,33.47693634033203125,
262500,48.1566162109375,
271500,46.452465057373046875,
280500,27.0653076171875,
289500,35.5172119140625,
298500,36.33838653564453125,
307500,46.492938995361328125,
316500,42.78910064697265625,
325500,28.493865966796875,
334500,23.79996490478515625,
343500,28.58748626708984375,
352500,35.63339996337890625,
361500,32.74365234375,
370500,29.7421417236328125,
379500,23.08127593994140625,
388500,22.04442596435546875,
397500,35.45954132080078125,
406500,30.70733642578125,
415500,24.09261322021484375,
424500,21.35400390625,
433500,25.57082366943359375,
442500,35.24048614501953125,
451500,29.83315277099609375,
460500,24.05445098876953125,
469500,21.780181884765625,
478500,19.45072174072265625,
487500,24.3295745849609375,
496500,19.84857177734375,
505500,26.2000579833984375,
514500,21.89246368408203125,
523500,28.17105865478515625,
532500,39.85573577880859375,
541500,30.475616455078125,
550500,18.80902862548828125,
559500,22.1500396728515625,
568500,33.570770263671875,
577500,35.35103607177734375,
586500,25.654327392578125,
595500,23.36780548095703125,
604500,17.74897003173828125,
613500,34.9791259765625,
622500,41.472808837890625,
631500,33.06488037109375,
640500,27.170501708984375,
649500,25.43733978271484375,
658500,41.01593017578125,
667500,30.9418792724609375,
676500,22.3664703369140625,
685500,24.31539154052734375,
694500,29.20803070068359375,
703500,43.44769287109375,
712500,31.40179443359375,
721500,14.16110992431640625,
730500,22.5760040283203125,
739500,25.17963409423828125,
748500,39.3027191162109375,
757500,27.62059783935546875,
766500,21.41690826416015625,
775500,14.34552001953125,
784500,26.4423980712890625,
793500,29.7549285888671875,
802500,20.06444549560546875,
811500,23.4821624755859375,
820500,18.446685791015625,
829500,21.87981414794921875,
838500,32.7006378173828125,
847500,27.305145263671875,
856500,22.67795562744140625,
865500,17.8053436279296875,
874500,30.99626922607421875,
883500,36.79277801513671875,
892500,24.36318206787109375,
901500,23.40782928466796875,
910500,20.4716033935546875,
919500,27.61975860595703125,
928500,42.2615814208984375,
937500,31.80352783203125,
946500,24.7720947265625,
955500,25.7564239501953125,
964500,37.83853912353515625,
973500,47.3011627197265625,
982500,37.75933837890625,
991500,19.99227142333984375,
1000500,24.3238525390625,
1009500,36.05975341796875,
1018500,46.978977203369140625,
1027500,35.1787567138671875,
1036500,22.9075927734375,
1045500,22.7559967041015625,
1054500,37.1661834716796875,
1063500,46.986530303955078125,
1072500,35.42263031005859375,
1081500,19.26770782470703125,
1090500,22.1676025390625,
1099500,34.18431854248046875,
1108500,44.55113983154296875,
1117500,33.898895263671875,
1126500,21.1336669921875,
1135500,25.679595947265625,
1144500,31.39148712158203125,
1153500,40.63703155517578125,
1162500,31.0484771728515625,
1171500,22.925201416015625,
1180500,23.94200897216796875,
1189500,31.74367523193359375,
1198500,36.1963958740234375,
1207500,21.8059844970703125,
1216500,17.23757171630859375,
1225500,32.11426544189453125,
1234500,27.01937103271484375,
1243500,25.574310302734375,
1252500,13.492340087890625,
1261500,22.5299835205078125,
1270500,20.0186309814453125,
1279500,28.23140716552734375,
1288500,29.4318389892578125,
1297500,16.58817291259765625,
1306500,27.815521240234375,
1315500,38.43630218505859375,
1324500,35.27709197998046875,
1333500,33.9835662841796875,
1342500,18.84037017822265625,
1351500,23.91843414306640625,
1360500,29.8282318115234375,
1369500,37.3491058349609375,
1378500,34.122802734375,
1387500,25.231658935546875,
1396500,34.22312164306640625,
1405500,39.704620361328125,
1414500,39.21240234375,
1423500,37.50597381591796875,
1432500,27.5369110107421875,
1441500,17.721588134765625,
1450500,17.9546356201171875,
1459500,40.7905120849609375,
1468500,35.70697021484375,
1477500,30.6546630859375,
1486500,39.27071380615234375,
1495500,37.0826568603515625,
1504500,39.2125701904296875,
1513500,34.09679412841796875,
1522500,23.173797607421875,
1531500,15.388397216796875,
1540500,28.69394683837890625,
1549500,41.1486358642578125,
1558500,34.94039154052734375,
1567500,28.87518310546875,
1576500,34.8398895263671875,
1585500,32.4607391357421875,
1594500,37.2553253173828125,
1603500,31.2633209228515625,
1612500,31.92366790771484375,
1621500,18.341339111328125,
1630500,23.6960906982421875,
1639500,38.51682281494140625,
1648500,35.8102264404296875,
1657500,30.85633087158203125,
1666500,34.9815521240234375,
1675500,35.045166015625,
1684500,35.1173858642578125,
1693500,32.6341094970703125,
1702500,24.4044036865234375,
1711500,28.8258209228515625,
1720500,32.281585693359375,
1729500,33.649566650390625,
