sep=,
Type,FSVA3013,
Version,1.40,
Date,19.Oct 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,1.000000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-2.71239471435546875,
1001500000,-2.12631988525390625,
1002500000,-1.6832275390625,
1003500000,-2.3800506591796875,
1004500000,-2.03680419921875,
1005500000,-1.931793212890625,
1006500000,-1.05524444580078125,
1007500000,-1.76798248291015625,
1008500000,-1.8931427001953125,
1009500000,-1.6083984375,
1010500000,-1.1728668212890625,
1011500000,-1.94690704345703125,
1012500000,-1.4783477783203125,
1013500000,-1.67197418212890625,
1014500000,-1.36717987060546875,
1015500000,-1.7973785400390625,
1016500000,-1.4636077880859375,
1017500000,-1.59528350830078125,
1018500000,-0.85820770263671875,
1019500000,-0.8653411865234375,
1020500000,0.0380096435546875,
1021500000,-2.038055419921875,
1022500000,-0.605560302734375,
1023500000,0.2243804931640625,
1024500000,-1.45476531982421875,
1025500000,-1.2399444580078125,
1026500000,-1.622222900390625,
1027500000,-1.50336456298828125,
1028500000,-1.64373779296875,
1029500000,-1.1974029541015625,
1030500000,2.87825775146484375,
1031500000,-1.33635711669921875,
1032500000,-2.520233154296875,
1033500000,-2.4237823486328125,
1034500000,-2.53441619873046875,
1035500000,-2.61116790771484375,
1036500000,-2.07779693603515625,
1037500000,-2.08709716796875,
1038500000,-1.303741455078125,
1039500000,-2.28632354736328125,
1040500000,-2.6576385498046875,
1041500000,-2.42780303955078125,
1042500000,-2.5956573486328125,
1043500000,-2.866943359375,
1044500000,-2.96132659912109375,
1045500000,-3.03104400634765625,
1046500000,-2.80039215087890625,
1047500000,-2.47308349609375,
1048500000,-3.00296783447265625,
1049500000,-3.07918548583984375,
1050500000,-3.4993133544921875,
1051500000,-3.076904296875,
1052500000,-2.59262847900390625,
1053500000,-2.3387451171875,
1054500000,-2.3856658935546875,
1055500000,-1.99164581298828125,
1056500000,-2.4689483642578125,
1057500000,-2.34615325927734375,
1058500000,-1.90392303466796875,
1059500000,-2.5921630859375,
1060500000,-2.72844696044921875,
1061500000,-2.0636444091796875,
1062500000,-2.14654541015625,
1063500000,-2.03406524658203125,
1064500000,-2.2801055908203125,
1065500000,-2.44382476806640625,
1066500000,-3.1054534912109375,
1067500000,-2.97379302978515625,
1068500000,-2.37839508056640625,
1069500000,-2.77628326416015625,
1070500000,-2.4506683349609375,
1071500000,-2.5846099853515625,
1072500000,-1.87931060791015625,
1073500000,-0.10805511474609375,
1074500000,-2.164825439453125,
1075500000,-2.26239013671875,
1076500000,-2.45471954345703125,
1077500000,-2.495574951171875,
1078500000,-2.72960662841796875,
1079500000,-2.8143768310546875,
1080500000,-2.2776947021484375,
1081500000,-2.39034271240234375,
1082500000,-2.79962921142578125,
1083500000,-2.34276580810546875,
1084500000,-2.1076202392578125,
1085500000,-1.8251190185546875,
1086500000,-1.52092742919921875,
1087500000,-1.45609283447265625,
1088500000,-1.51709747314453125,
1089500000,-1.3893585205078125,
1090500000,-1.67259979248046875,
1091500000,-1.33740234375,
1092500000,-1.68210601806640625,
1093500000,-2.012969970703125,
1094500000,-2.16412353515625,
1095500000,-2.9994049072265625,
1096500000,-2.6093292236328125,
1097500000,-2.64653778076171875,
1098500000,-2.85175323486328125,
1099500000,-3.0716400146484375,
1100500000,-2.53795623779296875,
1101500000,-2.7642669677734375,
1102500000,-3.1656646728515625,
1103500000,-2.3113555908203125,
1104500000,-2.4837188720703125,
1105500000,-2.19120025634765625,
1106500000,-2.6900787353515625,
1107500000,-2.7144317626953125,
1108500000,-2.555755615234375,
1109500000,-3.04955291748046875,
1110500000,-2.8203277587890625,
1111500000,-2.9572601318359375,
1112500000,-3.3607940673828125,
1113500000,-3.20665740966796875,
1114500000,-4.01256561279296875,
1115500000,-2.95326995849609375,
1116500000,-2.90728759765625,
1117500000,-3.0887603759765625,
1118500000,-2.95555877685546875,
1119500000,-2.68627166748046875,
1120500000,-2.94873809814453125,
1121500000,-2.548828125,
1122500000,-2.90035247802734375,
1123500000,-3.10211181640625,
1124500000,-2.23535919189453125,
1125500000,-2.4631500244140625,
1126500000,-3.06023406982421875,
1127500000,-3.082611083984375,
1128500000,-2.96443939208984375,
1129500000,-3.22515869140625,
1130500000,-2.25330352783203125,
1131500000,-3.28166961669921875,
1132500000,-3.45351409912109375,
1133500000,-2.823455810546875,
1134500000,-3.5615081787109375,
1135500000,-2.08011627197265625,
1136500000,-2.841064453125,
1137500000,-2.48416900634765625,
1138500000,-3.08562469482421875,
1139500000,-2.861968994140625,
1140500000,-2.533538818359375,
1141500000,-2.86365509033203125,
1142500000,-2.78044891357421875,
1143500000,-3.12345123291015625,
1144500000,-3.317138671875,
1145500000,-3.37265777587890625,
1146500000,-3.694732666015625,
