sep=,
Type,FSVA3013,
Version,1.40,
Date,19.Oct 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,1.000000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-2.055023193359375,
1001500000,-2.09966278076171875,
1002500000,-1.4280242919921875,
1003500000,-1.95722198486328125,
1004500000,-1.70900726318359375,
1005500000,-1.28726959228515625,
1006500000,-0.4022979736328125,
1007500000,-1.3897705078125,
1008500000,-1.80175018310546875,
1009500000,-1.649200439453125,
1010500000,-2.0239105224609375,
1011500000,-2.48291778564453125,
1012500000,-0.980316162109375,
1013500000,-2.126251220703125,
1014500000,-1.87490081787109375,
1015500000,-2.33567047119140625,
1016500000,-1.92465972900390625,
1017500000,-1.794525146484375,
1018500000,-1.39013671875,
1019500000,-0.735809326171875,
1020500000,-0.8840484619140625,
1021500000,-1.830841064453125,
1022500000,-1.583221435546875,
1023500000,-0.03409576416015625,
1024500000,-1.056121826171875,
1025500000,-1.3531646728515625,
1026500000,-1.54155731201171875,
1027500000,-1.66020965576171875,
1028500000,-1.24535369873046875,
1029500000,-1.67562103271484375,
1030500000,0.63716888427734375,
1031500000,-1.50702667236328125,
1032500000,-1.6791839599609375,
1033500000,-1.952972412109375,
1034500000,-2.28298187255859375,
1035500000,-2.07224273681640625,
1036500000,-1.96881103515625,
1037500000,-2.42046356201171875,
1038500000,-1.60198974609375,
1039500000,-1.614990234375,
1040500000,-1.50899505615234375,
1041500000,-1.79510498046875,
1042500000,-2.00628662109375,
1043500000,-2.2520599365234375,
1044500000,-2.140350341796875,
1045500000,-2.8225860595703125,
1046500000,-2.00403594970703125,
1047500000,-2.464263916015625,
1048500000,-2.29640960693359375,
1049500000,-3.33685302734375,
1050500000,-3.02219390869140625,
1051500000,-2.52740478515625,
1052500000,-2.0933837890625,
1053500000,-1.98227691650390625,
1054500000,-2.99169921875,
1055500000,-2.07428741455078125,
1056500000,-2.02239227294921875,
1057500000,-2.10321044921875,
1058500000,-2.4862518310546875,
1059500000,-2.36687469482421875,
1060500000,-2.3177642822265625,
1061500000,-1.69815826416015625,
1062500000,-1.3685302734375,
1063500000,-1.70363616943359375,
1064500000,0.92115020751953125,
1065500000,-0.6773529052734375,
1066500000,-1.28260040283203125,
1067500000,-2.01706695556640625,
1068500000,-2.45337677001953125,
1069500000,-1.82758331298828125,
1070500000,-1.688079833984375,
1071500000,-1.1451568603515625,
1072500000,-1.5828399658203125,
1073500000,-0.8224029541015625,
1074500000,-1.07382965087890625,
1075500000,-2.435821533203125,
1076500000,-2.00922393798828125,
1077500000,-2.01291656494140625,
1078500000,-2.281982421875,
1079500000,-2.68019866943359375,
1080500000,-2.134918212890625,
1081500000,-2.4583892822265625,
1082500000,-2.83666229248046875,
1083500000,-2.46126556396484375,
1084500000,-2.05625152587890625,
1085500000,-1.91072845458984375,
1086500000,-1.737457275390625,
1087500000,-1.63359832763671875,
1088500000,-1.519012451171875,
1089500000,-2.04084014892578125,
1090500000,-1.78833770751953125,
1091500000,-2.0352935791015625,
1092500000,-2.2332305908203125,
1093500000,-2.34069061279296875,
1094500000,-2.0296478271484375,
1095500000,-2.0968017578125,
1096500000,-2.719879150390625,
1097500000,-2.8995819091796875,
1098500000,-2.242218017578125,
1099500000,-2.87042999267578125,
1100500000,-2.72557830810546875,
1101500000,-2.66323089599609375,
1102500000,-2.39752197265625,
1103500000,-1.9318389892578125,
1104500000,-2.26567840576171875,
1105500000,-2.66349029541015625,
1106500000,-2.00213623046875,
1107500000,-2.8116302490234375,
1108500000,-2.94940948486328125,
1109500000,-3.2559356689453125,
1110500000,-2.8926239013671875,
1111500000,-2.91110992431640625,
1112500000,-3.25609588623046875,
1113500000,-2.88629150390625,
1114500000,-3.39337921142578125,
1115500000,-3.0234222412109375,
1116500000,-2.89919281005859375,
1117500000,-2.6083984375,
1118500000,-3.069610595703125,
1119500000,-2.71728515625,
1120500000,-2.72168731689453125,
1121500000,-2.37979888916015625,
1122500000,-1.9613494873046875,
1123500000,-2.411285400390625,
1124500000,-2.25658416748046875,
1125500000,-2.6238250732421875,
1126500000,-2.7500762939453125,
1127500000,-2.9134521484375,
1128500000,-2.94094085693359375,
1129500000,-3.06572723388671875,
1130500000,-3.37122344970703125,
1131500000,-3.003997802734375,
1132500000,-3.000823974609375,
1133500000,-2.6968994140625,
1134500000,-2.93413543701171875,
1135500000,-3.43448638916015625,
1136500000,-2.38121795654296875,
1137500000,-2.27222442626953125,
1138500000,-2.891265869140625,
1139500000,-2.74933624267578125,
1140500000,-3.0945587158203125,
1141500000,-2.48657989501953125,
1142500000,-3.07961273193359375,
1143500000,-2.9456787109375,
1144500000,-3.40828704833984375,
1145500000,-3.76885986328125,
1146500000,-3.32607269287109375,
1147500000,-3.3987579345703125,
