sep=,
Type,FSVA3013,
Version,1.40,
Date,19.Oct 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,3.5623931884765625,
163500,-0.4379730224609375,
172500,20.13684844970703125,
181500,33.86688995361328125,
190500,12.45922088623046875,
199500,7.0341949462890625,
208500,7.71466827392578125,
217500,11.30042266845703125,
226500,32.89530181884765625,
235500,18.18920135498046875,
244500,-0.76763153076171875,
253500,-4.4410552978515625,
262500,2.53491973876953125,
271500,29.998291015625,
280500,19.117706298828125,
289500,4.279022216796875,
298500,5.60169219970703125,
307500,2.91192626953125,
316500,28.08737945556640625,
325500,22.5618896484375,
334500,4.36360931396484375,
343500,0.259490966796875,
352500,4.5855712890625,
361500,23.497467041015625,
370500,22.76824188232421875,
379500,0.1272735595703125,
388500,4.425567626953125,
397500,-6.683441162109375,
406500,16.29297637939453125,
415500,23.69803619384765625,
424500,1.61157989501953125,
433500,0.5724334716796875,
442500,1.615875244140625,
451500,10.10080718994140625,
460500,22.4530792236328125,
469500,1.133880615234375,
478500,-3.7610931396484375,
487500,-2.72434234619140625,
496500,-3.8585662841796875,
505500,19.9571533203125,
514500,-4.587493896484375,
523500,-5.30084991455078125,
532500,-4.69742584228515625,
541500,-1.6844940185546875,
550500,18.08994293212890625,
559500,-3.728668212890625,
568500,-4.15738677978515625,
577500,-1.321624755859375,
586500,0.79888916015625,
595500,16.16986846923828125,
604500,7.0821990966796875,
613500,-1.1789703369140625,
622500,-7.1862945556640625,
631500,-4.86582183837890625,
640500,11.59854888916015625,
649500,4.50379180908203125,
658500,-1.6416473388671875,
667500,-6.75302886962890625,
676500,-5.20163726806640625,
685500,4.96178436279296875,
694500,9.1187286376953125,
703500,4.85948944091796875,
712500,-1.64765167236328125,
721500,1.00246429443359375,
730500,2.60062408447265625,
739500,7.611297607421875,
748500,-0.6064910888671875,
757500,-0.6688079833984375,
766500,1.45856475830078125,
775500,-1.16387176513671875,
784500,6.92681884765625,
793500,2.8676300048828125,
802500,0.02387237548828125,
811500,-5.57553863525390625,
820500,-6.4103851318359375,
829500,4.46953582763671875,
838500,-5.31169891357421875,
847500,1.44910430908203125,
856500,-0.68006134033203125,
865500,-3.817596435546875,
874500,4.63439178466796875,
883500,-1.189544677734375,
892500,0.4242706298828125,
901500,2.1195068359375,
910500,4.3694000244140625,
919500,6.03005218505859375,
928500,0.90872955322265625,
937500,3.4635009765625,
946500,3.54795074462890625,
955500,5.38820648193359375,
964500,5.64981842041015625,
973500,0.058746337890625,
982500,-2.6887054443359375,
991500,-6.70169830322265625,
1000500,-6.51593780517578125,
1009500,-4.36420440673828125,
1018500,-1.62351226806640625,
1027500,1.31829833984375,
1036500,2.47672271728515625,
1045500,4.5093994140625,
1054500,-0.59384918212890625,
1063500,-2.99945831298828125,
1072500,-5.56795501708984375,
1081500,-3.49457550048828125,
1090500,0.880218505859375,
1099500,3.52690887451171875,
1108500,-1.94872283935546875,
1117500,-6.77105712890625,
1126500,-3.37762451171875,
1135500,-6.7805328369140625,
1144500,-1.6452178955078125,
1153500,1.04636383056640625,
1162500,0.567413330078125,
1171500,-2.0977783203125,
1180500,-5.1468963623046875,
1189500,-4.197723388671875,
1198500,-1.39934539794921875,
1207500,4.60196685791015625,
1216500,2.4831390380859375,
1225500,-7.1701202392578125,
1234500,-2.083404541015625,
1243500,-2.99254608154296875,
1252500,-2.9461517333984375,
1261500,0.70147705078125,
1270500,-3.0612030029296875,
1279500,-3.46124267578125,
1288500,2.57929229736328125,
1297500,-1.628692626953125,
1306500,-0.49758148193359375,
1315500,1.66082000732421875,
1324500,0.85105133056640625,
1333500,1.266204833984375,
1342500,-0.70778656005859375,
1351500,-3.95676422119140625,
1360500,-0.94432830810546875,
1369500,-2.435699462890625,
1378500,-4.7064056396484375,
1387500,-2.46858978271484375,
1396500,-2.484344482421875,
1405500,3.72878265380859375,
1414500,-1.65161895751953125,
1423500,2.41306304931640625,
1432500,-1.67704010009765625,
1441500,-3.26168060302734375,
1450500,-0.3213348388671875,
1459500,-2.93932342529296875,
1468500,-5.9400177001953125,
1477500,-4.31795501708984375,
1486500,-1.95014190673828125,
1495500,-4.9665679931640625,
1504500,-3.024566650390625,
1513500,-2.74941253662109375,
1522500,-3.572021484375,
1531500,0.56360626220703125,
1540500,-6.68076324462890625,
1549500,-1.42340087890625,
1558500,-5.01715087890625,
1567500,-6.34160614013671875,
1576500,-2.05194091796875,
1585500,-0.08785247802734375,
1594500,-1.8475494384765625,
1603500,-4.01729583740234375,
1612500,-7.88309478759765625,
1621500,0.71810150146484375,
1630500,-0.67990875244140625,
1639500,3.5540313720703125,
1648500,-0.463623046875,
1657500,-5.15065765380859375,
1666500,-1.79412078857421875,
1675500,-4.86301422119140625,
