sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,85.400000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,33.3113861083984375,
163500,31.3480682373046875,
172500,29.238555908203125,
181500,27.1109771728515625,
190500,27.8031005859375,
199500,30.54091644287109375,
208500,27.349365234375,
217500,25.66150665283203125,
226500,27.59943389892578125,
235500,31.2934417724609375,
244500,31.9636383056640625,
253500,31.80640411376953125,
262500,27.82256317138671875,
271500,30.98940277099609375,
280500,31.2196197509765625,
289500,35.9695587158203125,
298500,32.6306304931640625,
307500,31.6843414306640625,
316500,36.3321685791015625,
325500,31.35650634765625,
334500,32.46173095703125,
343500,29.5966644287109375,
352500,31.2862396240234375,
361500,29.55481719970703125,
370500,32.444122314453125,
379500,28.27884674072265625,
388500,27.72209930419921875,
397500,31.51229095458984375,
406500,30.0193634033203125,
415500,28.32483673095703125,
424500,26.9817047119140625,
433500,28.51520538330078125,
442500,28.06006622314453125,
451500,31.33809661865234375,
460500,27.11869049072265625,
469500,29.08629608154296875,
478500,29.499114990234375,
487500,31.6273651123046875,
496500,30.6293487548828125,
505500,29.21970367431640625,
514500,29.5916900634765625,
523500,30.5660552978515625,
532500,34.01983642578125,
541500,27.70867156982421875,
550500,26.49768829345703125,
559500,29.87854766845703125,
568500,33.1526336669921875,
577500,30.195526123046875,
586500,29.39159393310546875,
595500,34.6717071533203125,
604500,31.74957275390625,
613500,33.48989105224609375,
622500,27.473480224609375,
631500,34.12862396240234375,
640500,36.0632476806640625,
649500,35.39054107666015625,
658500,31.70352935791015625,
667500,31.702545166015625,
676500,40.078765869140625,
685500,35.0311279296875,
694500,34.7532196044921875,
703500,33.0314788818359375,
712500,40.10854339599609375,
721500,39.18280029296875,
730500,38.24202728271484375,
739500,34.23028564453125,
748500,37.07334136962890625,
757500,44.506511688232421875,
766500,40.19675445556640625,
775500,38.8948822021484375,
784500,37.029083251953125,
793500,45.951473236083984375,
802500,43.9086456298828125,
811500,45.693386077880859375,
820500,40.36261749267578125,
829500,42.0960693359375,
838500,48.357051849365234375,
847500,50.56388092041015625,
856500,46.857334136962890625,
865500,46.046215057373046875,
874500,50.787540435791015625,
883500,51.982952117919921875,
892500,56.576694488525390625,
901500,50.529266357421875,
910500,47.244121551513671875,
919500,50.060028076171875,
928500,57.025539398193359375,
937500,52.94683074951171875,
946500,51.01204681396484375,
955500,51.1475677490234375,
964500,51.822216033935546875,
973500,54.472393035888671875,
982500,48.228008270263671875,
991500,48.538570404052734375,
1000500,50.990772247314453125,
1009500,51.363006591796875,
1018500,46.012821197509765625,
1027500,43.7826690673828125,
1036500,51.248416900634765625,
1045500,44.935333251953125,
1054500,45.124904632568359375,
1063500,40.9139556884765625,
1072500,45.19203948974609375,
1081500,46.118953704833984375,
1090500,40.44301605224609375,
1099500,37.5749359130859375,
1108500,38.10794830322265625,
1117500,42.95027923583984375,
1126500,33.56787109375,
1135500,31.76752471923828125,
1144500,36.1957550048828125,
1153500,36.20055389404296875,
1162500,35.318389892578125,
1171500,29.20298004150390625,
1180500,29.6147003173828125,
1189500,28.45856475830078125,
1198500,30.97170257568359375,
1207500,26.9424896240234375,
1216500,24.88411712646484375,
1225500,27.79437255859375,
1234500,31.509063720703125,
1243500,27.1380462646484375,
1252500,28.63842010498046875,
1261500,23.35394287109375,
1270500,21.14646148681640625,
1279500,22.266571044921875,
1288500,21.14798736572265625,
1297500,21.9664459228515625,
1306500,21.06537628173828125,
1315500,27.02568817138671875,
1324500,26.8892974853515625,
1333500,24.6620635986328125,
1342500,23.92639923095703125,
1351500,22.79785919189453125,
1360500,25.05033111572265625,
1369500,24.49442291259765625,
1378500,24.96991729736328125,
1387500,23.7752227783203125,
1396500,26.702117919921875,
1405500,26.5286865234375,
1414500,28.04816436767578125,
1423500,24.44464111328125,
1432500,26.09801483154296875,
1441500,27.6386260986328125,
1450500,28.04848480224609375,
1459500,25.1876068115234375,
1468500,27.9333343505859375,
1477500,30.3811187744140625,
1486500,24.853546142578125,
1495500,26.97919464111328125,
1504500,28.382965087890625,
1513500,28.8370513916015625,
1522500,29.3117218017578125,
1531500,25.57747650146484375,
1540500,28.0789031982421875,
1549500,29.31012725830078125,
1558500,33.66649627685546875,
1567500,29.511932373046875,
1576500,32.64217376708984375,
1585500,34.8953094482421875,
1594500,34.05406951904296875,
1603500,33.2972259521484375,
1612500,33.988800048828125,
1621500,34.7427520751953125,
1630500,32.46437835693359375,
1639500,37.5934906005859375,
1648500,35.319091796875,
1657500,35.3173065185546875,
1666500,34.59627532958984375,
1675500,38.91603851318359375,
1684500,36.8997802734375,
1693500,38.4394989013671875,
1702500,36.3112030029296875,
1711500,36.43343353271484375,
1720500,41.68419647216796875,
