sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,0.650000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-3.9058685302734375,
1001500000,-3.50009918212890625,
1002500000,-3.42723846435546875,
1003500000,-3.290130615234375,
1004500000,-3.30994415283203125,
1005500000,-3.27828216552734375,
1006500000,-3.0880279541015625,
1007500000,-3.301025390625,
1008500000,-3.5738525390625,
1009500000,-3.748138427734375,
1010500000,-3.81664276123046875,
1011500000,-3.9763031005859375,
1012500000,-4.11510467529296875,
1013500000,-4.06076812744140625,
1014500000,-3.95546722412109375,
1015500000,-3.7918701171875,
1016500000,-3.74169158935546875,
1017500000,-3.435577392578125,
1018500000,-3.43630218505859375,
1019500000,-3.6573944091796875,
1020500000,-3.4012908935546875,
1021500000,-3.702911376953125,
1022500000,-3.5151824951171875,
1023500000,-3.3887176513671875,
1024500000,-3.62890625,
1025500000,-3.87021636962890625,
1026500000,-3.808441162109375,
1027500000,-4.057403564453125,
1028500000,-3.993133544921875,
1029500000,-4.00164794921875,
1030500000,-3.82170867919921875,
1031500000,-3.87068939208984375,
1032500000,-3.768463134765625,
1033500000,-3.50391387939453125,
1034500000,-3.40369415283203125,
1035500000,-3.12725830078125,
1036500000,-3.04570770263671875,
1037500000,-3.11545562744140625,
1038500000,-2.644744873046875,
1039500000,-3.0269317626953125,
1040500000,-3.40203094482421875,
1041500000,-3.796234130859375,
1042500000,-3.73374176025390625,
1043500000,-3.91814422607421875,
1044500000,-3.88410186767578125,
1045500000,-3.61788177490234375,
1046500000,-3.75313568115234375,
1047500000,-3.737579345703125,
1048500000,-3.430908203125,
1049500000,-3.19373321533203125,
1050500000,-3.107330322265625,
1051500000,-2.834930419921875,
1052500000,-2.611053466796875,
1053500000,-2.849212646484375,
1054500000,-2.67540740966796875,
1055500000,-2.91036224365234375,
1056500000,-3.14516448974609375,
1057500000,-3.24883270263671875,
1058500000,-3.35265350341796875,
1059500000,-3.3813934326171875,
1060500000,-3.45394134521484375,
1061500000,-3.45581817626953125,
1062500000,-3.2794189453125,
1063500000,-3.1777496337890625,
1064500000,-2.83612060546875,
1065500000,-2.48426055908203125,
1066500000,-2.55681610107421875,
1067500000,-2.25664520263671875,
1068500000,-1.910888671875,
1069500000,-2.0547027587890625,
1070500000,-2.1385650634765625,
1071500000,-2.07474517822265625,
1072500000,-2.16168212890625,
1073500000,-1.7835693359375,
1074500000,-2.319366455078125,
1075500000,-2.49810028076171875,
1076500000,-2.7449798583984375,
1077500000,-2.6566162109375,
1078500000,-2.59662628173828125,
1079500000,-2.40558624267578125,
1080500000,-2.587493896484375,
1081500000,-2.655059814453125,
1082500000,-2.3001251220703125,
1083500000,-2.54791259765625,
1084500000,-1.98992156982421875,
1085500000,-2.2046051025390625,
1086500000,-2.2713165283203125,
1087500000,-2.339080810546875,
1088500000,-2.51541900634765625,
1089500000,-2.95586395263671875,
1090500000,-2.8256072998046875,
1091500000,-2.6665496826171875,
1092500000,-2.788055419921875,
1093500000,-2.6632537841796875,
1094500000,-2.47855377197265625,
1095500000,-2.64891815185546875,
1096500000,-2.40009307861328125,
1097500000,-2.28989410400390625,
1098500000,-1.87511444091796875,
1099500000,-1.67803192138671875,
1100500000,-1.99051666259765625,
1101500000,-1.6859130859375,
1102500000,-1.87757110595703125,
1103500000,-2.20581817626953125,
1104500000,-2.15181732177734375,
1105500000,-2.310699462890625,
1106500000,-2.39876556396484375,
1107500000,-2.488800048828125,
1108500000,-2.73839569091796875,
1109500000,-2.83060455322265625,
1110500000,-2.946624755859375,
1111500000,-2.95510101318359375,
1112500000,-2.61444854736328125,
1113500000,-2.60776519775390625,
1114500000,-2.37769317626953125,
1115500000,-2.60894775390625,
1116500000,-2.25159454345703125,
1117500000,-2.2337188720703125,
1118500000,-2.3814697265625,
1119500000,-2.59586334228515625,
1120500000,-2.56546783447265625,
1121500000,-2.69341278076171875,
1122500000,-2.70697021484375,
1123500000,-3.0460662841796875,
1124500000,-2.92874908447265625,
1125500000,-3.33272552490234375,
1126500000,-2.8060760498046875,
1127500000,-2.81314849853515625,
1128500000,-2.5547943115234375,
1129500000,-2.7275543212890625,
1130500000,-2.43312835693359375,
1131500000,-2.08783721923828125,
1132500000,-1.34244537353515625,
1133500000,-2.07042694091796875,
1134500000,-1.77880096435546875,
1135500000,-1.97957611083984375,
1136500000,-1.98615264892578125,
1137500000,-1.96828460693359375,
1138500000,-1.79244232177734375,
1139500000,-1.71158599853515625,
1140500000,-1.62844085693359375,
1141500000,-1.25807952880859375,
1142500000,-1.3881072998046875,
1143500000,-0.87110137939453125,
1144500000,-0.66143798828125,
1145500000,-0.41255950927734375,
1146500000,-0.216522216796875,
1147500000,0.828521728515625,
