sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,89.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,8083,
30060000,29.98761749267578125,
30180000,31.22675323486328125,
30300000,33.14272308349609375,
30420000,34.73845672607421875,
30540000,35.82089996337890625,
30660000,38.97303009033203125,
30780000,42.59722900390625,
30900000,45.66498565673828125,
31020000,49.828441619873046875,
31140000,51.4603424072265625,
31260000,51.025287628173828125,
31380000,49.9753265380859375,
31500000,48.921268463134765625,
31620000,46.36086273193359375,
31740000,45.57137298583984375,
31860000,43.2342529296875,
31980000,42.358154296875,
32100000,40.8911285400390625,
32220000,40.8238525390625,
32340000,38.45538330078125,
32460000,40.36298370361328125,
32580000,38.3105621337890625,
32700000,36.48397064208984375,
32820000,40.59598541259765625,
32940000,39.8957977294921875,
33060000,42.14633941650390625,
33180000,36.6750640869140625,
33300000,36.52767181396484375,
33420000,38.858551025390625,
33540000,39.463134765625,
33660000,39.79592132568359375,
33780000,37.29225921630859375,
33900000,38.20615386962890625,
34020000,38.22855377197265625,
34140000,35.16309356689453125,
34260000,37.618682861328125,
34380000,35.18648529052734375,
34500000,42.06107330322265625,
34620000,31.30585479736328125,
34740000,36.5311737060546875,
34860000,37.0830841064453125,
34980000,34.69818115234375,
35100000,32.44495391845703125,
35220000,32.0116119384765625,
35340000,35.58048248291015625,
35460000,29.641082763671875,
35580000,32.82180023193359375,
35700000,41.212738037109375,
35820000,33.93079376220703125,
35940000,43.20626068115234375,
36060000,33.65227508544921875,
36180000,29.3913421630859375,
36300000,23.28363800048828125,
36420000,23.09296417236328125,
36540000,33.33855438232421875,
36660000,22.8871307373046875,
36780000,32.41236114501953125,
36900000,37.7203521728515625,
37020000,27.21782684326171875,
37140000,23.01763153076171875,
37260000,27.0021820068359375,
37380000,24.9302825927734375,
37500000,27.481201171875,
37620000,24.217559814453125,
37740000,24.07755279541015625,
37860000,24.87758636474609375,
37980000,27.71587371826171875,
38100000,24.9740447998046875,
38220000,25.791961669921875,
38340000,25.418426513671875,
38460000,25.870208740234375,
38580000,24.5961761474609375,
38700000,26.73095703125,
38820000,24.53818511962890625,
38940000,23.6602783203125,
39060000,25.9328155517578125,
39180000,21.8826141357421875,
39300000,22.186004638671875,
39420000,24.45922088623046875,
39540000,22.11458587646484375,
39660000,24.00223541259765625,
39780000,22.78133392333984375,
39900000,25.3324127197265625,
40020000,22.43601226806640625,
40140000,25.2468109130859375,
40260000,23.091583251953125,
40380000,21.59188079833984375,
40500000,23.64904022216796875,
40620000,20.84917449951171875,
40740000,20.62848663330078125,
40860000,25.16094207763671875,
40980000,22.16164398193359375,
41100000,22.18837738037109375,
41220000,21.7631683349609375,
41340000,22.62389373779296875,
41460000,21.345611572265625,
41580000,24.839141845703125,
41700000,22.9043731689453125,
41820000,22.3214263916015625,
41940000,31.28697967529296875,
42060000,23.45928955078125,
42180000,21.84777069091796875,
42300000,21.83594512939453125,
42420000,22.147003173828125,
42540000,22.8407745361328125,
42660000,23.0883331298828125,
42780000,21.89942169189453125,
42900000,20.93247222900390625,
43020000,22.2947235107421875,
43140000,23.27237701416015625,
43260000,22.74944305419921875,
43380000,23.3220367431640625,
43500000,23.02718353271484375,
43620000,24.42255401611328125,
43740000,24.7593231201171875,
43860000,24.3248748779296875,
43980000,24.96039581298828125,
44100000,24.60523223876953125,
44220000,24.81328582763671875,
44340000,24.413360595703125,
44460000,25.10515594482421875,
44580000,25.0244293212890625,
44700000,24.06018829345703125,
44820000,23.3769378662109375,
44940000,23.23331451416015625,
45060000,23.9621429443359375,
45180000,24.16043853759765625,
45300000,23.380706787109375,
45420000,22.419677734375,
45540000,23.7863311767578125,
45660000,24.34027862548828125,
45780000,24.1056060791015625,
45900000,24.62123870849609375,
46020000,24.37505340576171875,
46140000,24.472808837890625,
46260000,24.979766845703125,
46380000,24.67243194580078125,
46500000,23.9651947021484375,
46620000,24.15418243408203125,
46740000,23.59123992919921875,
46860000,23.97164154052734375,
46980000,23.97762298583984375,
47100000,24.07331085205078125,
47220000,23.25521087646484375,
47340000,25.45543670654296875,
47460000,24.6732330322265625,
47580000,24.235931396484375,
47700000,23.98297119140625,
47820000,23.06346893310546875,
47940000,25.47188568115234375,
48060000,24.5281829833984375,
48180000,23.25386810302734375,
48300000,24.17996978759765625,
48420000,23.8677520751953125,
48540000,24.10785675048828125,
48660000,23.1319122314453125,
48780000,25.11269378662109375,
48900000,23.82843780517578125,
49020000,24.6397552490234375,
49140000,25.17486572265625,
49260000,24.4502716064453125,
49380000,25.397369384765625,
49500000,25.29618072509765625,
49620000,24.09029388427734375,
49740000,25.2545166015625,
49860000,25.26401519775390625,
49980000,26.50946807861328125,
50100000,26.366668701171875,
50220000,27.99971771240234375,
