sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,85.400000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,3317,
154500,43.34747314453125,
163500,38.40235137939453125,
172500,37.60050201416015625,
181500,34.895050048828125,
190500,39.79833984375,
199500,41.69115447998046875,
208500,42.0349884033203125,
217500,36.1365509033203125,
226500,33.37537384033203125,
235500,42.1589508056640625,
244500,38.0811614990234375,
253500,39.64642333984375,
262500,38.65860748291015625,
271500,41.67293548583984375,
280500,41.9137115478515625,
289500,44.684848785400390625,
298500,41.117340087890625,
307500,39.6923065185546875,
316500,44.4500579833984375,
325500,38.87197113037109375,
334500,36.15755462646484375,
343500,31.12157440185546875,
352500,37.095001220703125,
361500,35.06900787353515625,
370500,37.72206878662109375,
379500,32.4744720458984375,
388500,31.709075927734375,
397500,34.04375457763671875,
406500,36.38692474365234375,
415500,35.00664520263671875,
424500,33.15252685546875,
433500,33.2448883056640625,
442500,32.653839111328125,
451500,37.5813140869140625,
460500,33.87520599365234375,
469500,29.5166473388671875,
478500,33.671875,
487500,37.66233062744140625,
496500,34.2200927734375,
505500,33.60504150390625,
514500,32.9935760498046875,
523500,35.71532440185546875,
532500,39.99822235107421875,
541500,34.35924530029296875,
550500,34.42415618896484375,
559500,38.0816497802734375,
568500,41.914031982421875,
577500,37.5484161376953125,
586500,33.419097900390625,
595500,44.01494598388671875,
604500,41.53513336181640625,
613500,43.62425994873046875,
622500,36.59069061279296875,
631500,44.155853271484375,
640500,45.99173736572265625,
649500,45.1839752197265625,
658500,40.23310089111328125,
667500,40.37458038330078125,
676500,49.977260589599609375,
685500,44.531253814697265625,
694500,44.038410186767578125,
703500,42.37775421142578125,
712500,50.364643096923828125,
721500,49.641956329345703125,
730500,47.939540863037109375,
739500,43.345912933349609375,
748500,46.48431396484375,
757500,54.91757965087890625,
766500,50.483245849609375,
775500,49.26172637939453125,
784500,48.975833892822265625,
793500,55.663921356201171875,
802500,53.464336395263671875,
811500,56.86838531494140625,
820500,51.518711090087890625,
829500,51.882862091064453125,
838500,58.60807037353515625,
847500,61.37456512451171875,
856500,58.14284515380859375,
865500,57.11724853515625,
874500,58.632503509521484375,
883500,61.94303131103515625,
892500,67.90378570556640625,
901500,63.371196746826171875,
910500,59.5227508544921875,
919500,60.64582061767578125,
928500,69.551361083984375,
937500,65.8430023193359375,
946500,64.545623779296875,
955500,64.6878814697265625,
964500,63.54305267333984375,
973500,66.9327850341796875,
982500,61.2890167236328125,
991500,61.422016143798828125,
1000500,64.0408172607421875,
1009500,63.510021209716796875,
1018500,58.21637725830078125,
1027500,58.09047698974609375,
1036500,64.8363800048828125,
1045500,58.21996307373046875,
1054500,58.125026702880859375,
1063500,56.444110870361328125,
1072500,58.899898529052734375,
1081500,59.7337799072265625,
1090500,52.697566986083984375,
1099500,51.48863983154296875,
1108500,52.1949615478515625,
1117500,57.65273284912109375,
1126500,47.195934295654296875,
1135500,46.761844635009765625,
1144500,50.60684967041015625,
1153500,50.148616790771484375,
1162500,48.937946319580078125,
1171500,43.957881927490234375,
1180500,43.004390716552734375,
1189500,42.31266021728515625,
1198500,46.796154022216796875,
1207500,41.92850494384765625,
1216500,43.606235504150390625,
1225500,44.03168487548828125,
1234500,44.7693939208984375,
1243500,38.4537200927734375,
1252500,35.967498779296875,
1261500,35.61051177978515625,
1270500,32.1191253662109375,
1279500,35.18445587158203125,
1288500,31.38121795654296875,
1297500,30.0317230224609375,
1306500,30.31284332275390625,
1315500,40.64632415771484375,
1324500,39.77057647705078125,
1333500,27.4496002197265625,
1342500,26.680145263671875,
1351500,27.75966644287109375,
1360500,29.08480072021484375,
1369500,27.61669921875,
1378500,28.16783905029296875,
1387500,27.4698028564453125,
1396500,33.59066009521484375,
1405500,39.72618865966796875,
1414500,36.53820037841796875,
1423500,34.96932220458984375,
1432500,32.714019775390625,
1441500,34.70849609375,
1450500,34.37261962890625,
1459500,35.9629669189453125,
1468500,32.7600555419921875,
1477500,37.7935638427734375,
1486500,35.3516998291015625,
1495500,38.540802001953125,
1504500,36.641387939453125,
1513500,36.45514678955078125,
1522500,37.34745025634765625,
1531500,36.67568206787109375,
1540500,40.96356201171875,
1549500,39.0557861328125,
1558500,42.59871673583984375,
1567500,39.80364227294921875,
1576500,40.589324951171875,
1585500,41.12744903564453125,
1594500,43.523654937744140625,
1603500,43.569507598876953125,
1612500,46.959747314453125,
1621500,42.6145477294921875,
1630500,42.55898284912109375,
1639500,47.918727874755859375,
1648500,45.82798004150390625,
1657500,46.813999176025390625,
1666500,46.457241058349609375,
1675500,49.65171051025390625,
1684500,47.7560272216796875,
1693500,48.474761962890625,
1702500,48.782428741455078125,
1711500,47.602787017822265625,
1720500,52.2444915771484375,
