sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,0.650000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-2.1349945068359375,
1001500000,-1.81893157958984375,
1002500000,-1.751800537109375,
1003500000,-1.68720245361328125,
1004500000,-1.6819610595703125,
1005500000,-1.6691131591796875,
1006500000,-1.40670013427734375,
1007500000,-0.97103118896484375,
1008500000,-1.67943572998046875,
1009500000,-1.66667938232421875,
1010500000,-1.5220947265625,
1011500000,-1.79184722900390625,
1012500000,-1.8317718505859375,
1013500000,-1.77739715576171875,
1014500000,-1.8292999267578125,
1015500000,-1.92609405517578125,
1016500000,-1.9764862060546875,
1017500000,-1.68788909912109375,
1018500000,-1.46659088134765625,
1019500000,-1.47906494140625,
1020500000,-1.51802825927734375,
1021500000,-1.69823455810546875,
1022500000,-1.53939056396484375,
1023500000,-1.41619873046875,
1024500000,-1.7415008544921875,
1025500000,-1.70517730712890625,
1026500000,-1.75482177734375,
1027500000,-1.6775665283203125,
1028500000,-1.67804718017578125,
1029500000,-1.40889739990234375,
1030500000,-1.0653076171875,
1031500000,-0.9057769775390625,
1032500000,-1.065887451171875,
1033500000,-0.9482574462890625,
1034500000,-1.149200439453125,
1035500000,-0.70024871826171875,
1036500000,-0.9618072509765625,
1037500000,-0.7000732421875,
1038500000,-0.4730682373046875,
1039500000,-1.1760101318359375,
1040500000,-1.48011016845703125,
1041500000,-1.69788360595703125,
1042500000,-1.9272308349609375,
1043500000,-2.00188446044921875,
1044500000,-2.0915985107421875,
1045500000,-2.11496734619140625,
1046500000,-1.82611083984375,
1047500000,-1.76509857177734375,
1048500000,-1.7870941162109375,
1049500000,-1.762847900390625,
1050500000,-1.695648193359375,
1051500000,-1.7823638916015625,
1052500000,-1.8515625,
1053500000,-1.59360504150390625,
1054500000,-1.6742706298828125,
1055500000,-1.6997222900390625,
1056500000,-2.09877777099609375,
1057500000,-2.2428436279296875,
1058500000,-2.5019073486328125,
1059500000,-2.5587921142578125,
1060500000,-2.31969451904296875,
1061500000,-2.65328216552734375,
1062500000,-2.60668182373046875,
1063500000,-2.1778106689453125,
1064500000,-2.11212921142578125,
1065500000,-1.98371124267578125,
1066500000,-1.7550506591796875,
1067500000,-1.1889801025390625,
1068500000,-0.59766387939453125,
1069500000,-0.25891876220703125,
1070500000,0.06908416748046875,
1071500000,0.31463623046875,
1072500000,0.56270599365234375,
1073500000,0.60764312744140625,
1074500000,0.74781036376953125,
1075500000,1.19427490234375,
1076500000,1.33470916748046875,
1077500000,1.5349273681640625,
1078500000,1.9628448486328125,
1079500000,2.19512176513671875,
1080500000,2.13539886474609375,
1081500000,2.1491546630859375,
1082500000,2.33739471435546875,
1083500000,2.67852020263671875,
1084500000,3.1087799072265625,
1085500000,3.4490814208984375,
1086500000,3.22634124755859375,
1087500000,3.30234527587890625,
1088500000,3.57213592529296875,
1089500000,3.9586029052734375,
1090500000,4.130279541015625,
1091500000,4.45539093017578125,
1092500000,4.8018035888671875,
1093500000,5.08525848388671875,
1094500000,6.1982879638671875,
1095500000,12.64714813232421875,
1096500000,14.19066619873046875,
1097500000,14.7144317626953125,
1098500000,14.9478759765625,
1099500000,13.87781524658203125,
1100500000,8.214385986328125,
1101500000,7.75640106201171875,
1102500000,7.790252685546875,
1103500000,7.6364593505859375,
1104500000,7.26995849609375,
1105500000,7.49036407470703125,
1106500000,7.5301666259765625,
1107500000,7.11841583251953125,
1108500000,7.0760955810546875,
1109500000,7.091766357421875,
1110500000,7.37346649169921875,
1111500000,7.7967529296875,
1112500000,8.20037078857421875,
1113500000,8.5529937744140625,
1114500000,8.63080596923828125,
1115500000,8.6006011962890625,
1116500000,8.859130859375,
1117500000,8.98792266845703125,
1118500000,9.20489501953125,
1119500000,9.07871246337890625,
1120500000,9.0308837890625,
1121500000,9.09369659423828125,
1122500000,8.923370361328125,
1123500000,9.22481536865234375,
1124500000,9.64536285400390625,
1125500000,10.04874420166015625,
1126500000,10.504150390625,
1127500000,10.97254180908203125,
1128500000,11.1574249267578125,
1129500000,11.30312347412109375,
1130500000,11.1476898193359375,
1131500000,10.90702056884765625,
1132500000,10.3943328857421875,
1133500000,10.41162109375,
1134500000,10.19791412353515625,
1135500000,9.8009033203125,
1136500000,10.40264129638671875,
1137500000,10.39743804931640625,
1138500000,10.6295623779296875,
1139500000,10.298553466796875,
1140500000,10.2886199951171875,
1141500000,9.8959808349609375,
1142500000,9.4227447509765625,
1143500000,9.35303497314453125,
1144500000,9.23895263671875,
1145500000,8.53887176513671875,
1146500000,8.591156005859375,
1147500000,7.97403717041015625,
1148500000,7.92620086669921875,
1149500000,7.895263671875,
1150500000,7.78643798828125,
1151500000,8.0074920654296875,
