sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,97.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,8083,
30060000,40.1993865966796875,
30180000,39.1406707763671875,
30300000,40.48430633544921875,
30420000,42.95806884765625,
30540000,43.445804595947265625,
30660000,44.4063873291015625,
30780000,45.398532867431640625,
30900000,46.651271820068359375,
31020000,45.966564178466796875,
31140000,46.58583831787109375,
31260000,44.216815948486328125,
31380000,43.0098876953125,
31500000,42.92465972900390625,
31620000,42.5167694091796875,
31740000,40.241119384765625,
31860000,41.43852996826171875,
31980000,40.8963165283203125,
32100000,40.06018829345703125,
32220000,41.75205230712890625,
32340000,42.38497161865234375,
32460000,38.80069732666015625,
32580000,40.05230712890625,
32700000,38.92671966552734375,
32820000,38.7451934814453125,
32940000,43.62726593017578125,
33060000,38.76049041748046875,
33180000,35.70365142822265625,
33300000,35.1768951416015625,
33420000,39.14105224609375,
33540000,40.1237030029296875,
33660000,42.57940673828125,
33780000,39.41301727294921875,
33900000,35.99793243408203125,
34020000,35.852020263671875,
34140000,38.0493316650390625,
34260000,36.39208984375,
34380000,36.583953857421875,
34500000,35.48728179931640625,
34620000,33.539306640625,
34740000,29.9852447509765625,
34860000,35.69901275634765625,
34980000,34.39055633544921875,
35100000,36.6332244873046875,
35220000,37.923187255859375,
35340000,29.75838470458984375,
35460000,26.65880584716796875,
35580000,32.56435394287109375,
35700000,37.87129974365234375,
35820000,32.37163543701171875,
35940000,41.58420562744140625,
36060000,31.26568603515625,
36180000,31.1008758544921875,
36300000,30.31150054931640625,
36420000,30.87990570068359375,
36540000,28.804443359375,
36660000,30.5061798095703125,
36780000,27.31549072265625,
36900000,33.33330535888671875,
37020000,23.21630859375,
37140000,23.424285888671875,
37260000,24.84287261962890625,
37380000,24.8640899658203125,
37500000,23.32437896728515625,
37620000,26.064483642578125,
37740000,25.2310028076171875,
37860000,25.28392791748046875,
37980000,24.76563262939453125,
38100000,24.4866485595703125,
38220000,22.87361907958984375,
38340000,22.8872222900390625,
38460000,21.5443115234375,
38580000,21.41864776611328125,
38700000,23.5886688232421875,
38820000,22.864044189453125,
38940000,21.2979583740234375,
39060000,25.27950286865234375,
39180000,21.29315185546875,
39300000,24.7115936279296875,
39420000,22.54804229736328125,
39540000,23.3684539794921875,
39660000,20.6407012939453125,
39780000,23.0560302734375,
39900000,20.6397552490234375,
40020000,20.94709014892578125,
40140000,23.85138702392578125,
40260000,23.819305419921875,
40380000,20.63677978515625,
40500000,25.13401031494140625,
40620000,23.258636474609375,
40740000,23.44921112060546875,
40860000,23.3176116943359375,
40980000,21.23258209228515625,
41100000,22.10279083251953125,
41220000,20.90274810791015625,
41340000,20.4629974365234375,
41460000,19.98070526123046875,
41580000,22.55423736572265625,
41700000,22.25841522216796875,
41820000,21.043182373046875,
41940000,29.3005523681640625,
42060000,22.797760009765625,
42180000,22.72644805908203125,
42300000,21.5371246337890625,
42420000,21.8106842041015625,
42540000,20.6107177734375,
42660000,21.45528411865234375,
42780000,20.21262359619140625,
42900000,20.722900390625,
43020000,20.8541107177734375,
43140000,21.92304229736328125,
43260000,20.14076995849609375,
43380000,23.0059814453125,
43500000,21.74408721923828125,
43620000,24.212677001953125,
43740000,22.72705078125,
43860000,22.51660919189453125,
43980000,21.34885406494140625,
44100000,22.49855804443359375,
44220000,22.946929931640625,
44340000,24.10787200927734375,
44460000,25.15599822998046875,
44580000,26.11226654052734375,
44700000,25.08173370361328125,
44820000,29.08829498291015625,
44940000,27.17765045166015625,
45060000,27.6848907470703125,
45180000,27.65073394775390625,
45300000,26.98856353759765625,
45420000,26.37740325927734375,
45540000,28.5150909423828125,
45660000,27.5454559326171875,
45780000,28.42829132080078125,
45900000,29.05560302734375,
46020000,29.89861297607421875,
46140000,28.6765594482421875,
46260000,30.2852783203125,
46380000,29.3910980224609375,
46500000,28.97402191162109375,
46620000,28.87606048583984375,
46740000,27.56047821044921875,
46860000,28.3968505859375,
46980000,28.63134002685546875,
47100000,26.7980499267578125,
47220000,26.45990753173828125,
47340000,26.39781951904296875,
47460000,28.0548248291015625,
47580000,27.05654144287109375,
47700000,27.24892425537109375,
47820000,26.9461212158203125,
47940000,31.263580322265625,
48060000,26.50063323974609375,
48180000,26.64040374755859375,
48300000,25.83983612060546875,
48420000,26.56647491455078125,
48540000,26.6696624755859375,
48660000,25.98282623291015625,
48780000,24.8365020751953125,
48900000,24.70116424560546875,
49020000,25.541259765625,
49140000,23.99951934814453125,
49260000,23.368072509765625,
49380000,23.6126861572265625,
49500000,23.18280792236328125,
49620000,23.129669189453125,
49740000,22.82794189453125,
49860000,21.40956878662109375,
49980000,21.76506805419921875,
50100000,21.08123779296875,
50220000,20.86562347412109375,
