sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,84.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,6.136627197265625,
9300,2.7608184814453125,
9500,5.8171234130859375,
9700,4.488739013671875,
9900,7.90514373779296875,
10100,9.95668792724609375,
10300,9.361083984375,
10500,9.0586395263671875,
10700,6.920013427734375,
10900,7.7915191650390625,
11100,7.41638946533203125,
11300,7.981414794921875,
11500,8.7930450439453125,
11700,8.911102294921875,
11900,8.6155548095703125,
12100,11.70874786376953125,
12300,15.08123016357421875,
12500,21.376129150390625,
12700,22.499176025390625,
12900,28.30219268798828125,
13100,32.49160003662109375,
13300,35.70250701904296875,
13500,28.29679107666015625,
13700,23.45345306396484375,
13900,17.6778717041015625,
14100,18.34087371826171875,
14300,14.90134429931640625,
14500,13.35283660888671875,
14700,12.5678558349609375,
14900,11.14763641357421875,
15100,10.53214263916015625,
15300,10.61995697021484375,
15500,10.76836395263671875,
15700,10.673553466796875,
15900,10.78189849853515625,
16100,8.5495758056640625,
16300,10.29317474365234375,
16500,10.25710296630859375,
16700,11.05165863037109375,
16900,10.1566009521484375,
17100,10.98270416259765625,
17300,11.67189788818359375,
17500,13.2652587890625,
17700,15.061767578125,
17900,17.66095733642578125,
18100,18.024566650390625,
18300,19.77787017822265625,
18500,27.600860595703125,
18700,22.92340850830078125,
18900,18.7957305908203125,
19100,22.7625274658203125,
19300,21.04534149169921875,
19500,24.07505035400390625,
19700,22.6299285888671875,
19900,25.95302581787109375,
20100,25.819671630859375,
20300,28.0078277587890625,
20500,27.4492950439453125,
20700,28.69641876220703125,
20900,29.68175506591796875,
21100,27.87058258056640625,
21300,29.4133148193359375,
21500,31.46389007568359375,
21700,30.7237701416015625,
21900,37.698394775390625,
22100,38.50882720947265625,
22300,35.42241668701171875,
22500,28.22655487060546875,
22700,24.2562713623046875,
22900,22.21825408935546875,
23100,22.1187286376953125,
23300,22.06649017333984375,
23500,20.8387603759765625,
23700,18.58950042724609375,
23900,17.846649169921875,
24100,17.4691619873046875,
24300,16.16454315185546875,
24500,15.47907257080078125,
24700,14.64617919921875,
24900,14.88935089111328125,
25100,14.15088653564453125,
25300,14.4505767822265625,
25500,14.129241943359375,
25700,18.13491058349609375,
25900,21.2138671875,
26100,20.69867706298828125,
26300,23.91419219970703125,
26500,29.8917388916015625,
26700,33.46912384033203125,
26900,24.66667938232421875,
27100,17.7229156494140625,
27300,14.6125335693359375,
27500,13.87949371337890625,
27700,11.27297210693359375,
27900,11.6529693603515625,
28100,11.16015625,
28300,11.30170440673828125,
28500,10.4438323974609375,
28700,12.136444091796875,
28900,12.26027679443359375,
29100,14.2093963623046875,
29300,13.9201202392578125,
29500,12.21445465087890625,
29700,12.4119110107421875,
29900,12.8785552978515625,
30100,12.86944580078125,
30300,12.99712371826171875,
30500,12.08636474609375,
30700,10.3291168212890625,
30900,11.8287506103515625,
31100,14.6410980224609375,
31300,10.34896087646484375,
31500,12.09459686279296875,
31700,11.30815887451171875,
31900,10.27190399169921875,
32100,10.4412078857421875,
32300,11.70905303955078125,
32500,11.43228912353515625,
32700,11.356170654296875,
32900,8.9183807373046875,
33100,11.608306884765625,
33300,11.21706390380859375,
33500,9.64849853515625,
33700,11.69661712646484375,
33900,9.16302490234375,
34100,11.13947296142578125,
34300,8.23931884765625,
34500,8.8045806884765625,
34700,10.20603179931640625,
34900,10.935089111328125,
35100,14.62944793701171875,
35300,11.8318328857421875,
35500,10.58515167236328125,
35700,12.30384063720703125,
35900,13.178619384765625,
36100,11.7038421630859375,
36300,10.36826324462890625,
36500,10.677825927734375,
36700,7.5113677978515625,
36900,13.89669036865234375,
37100,26.98886871337890625,
37300,27.44622802734375,
37500,12.7007904052734375,
37700,9.74848175048828125,
37900,13.2243499755859375,
38100,11.6169586181640625,
38300,11.3188934326171875,
38500,9.95153045654296875,
38700,11.07633209228515625,
38900,10.38964080810546875,
39100,9.7621612548828125,
39300,12.2372589111328125,
39500,11.451385498046875,
39700,11.02639007568359375,
39900,26.44214630126953125,
40100,27.46045684814453125,
40300,10.80034637451171875,
40500,11.77181243896484375,
40700,14.92316436767578125,
40900,14.065338134765625,
41100,10.76944732666015625,
41300,11.85353851318359375,
41500,9.71120452880859375,
41700,11.5471954345703125,
41900,14.87096405029296875,
42100,15.5750885009765625,
42300,16.49933624267578125,
42500,16.7323150634765625,
42700,14.0816497802734375,
42900,20.48184967041015625,
43100,19.64666748046875,
43300,23.2910919189453125,
43500,23.50213623046875,
43700,29.01909637451171875,
43900,33.3051300048828125,
44100,45.845188140869140625,
44300,50.54930877685546875,
44500,42.26078033447265625,
44700,34.07892608642578125,
44900,29.8444671630859375,
45100,24.416412353515625,
45300,20.76576995849609375,
