sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,0.650000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-1.47876739501953125,
1001500000,-1.403533935546875,
1002500000,-1.4145965576171875,
1003500000,-1.196075439453125,
1004500000,-1.06545257568359375,
1005500000,-1.30255126953125,
1006500000,-1.089691162109375,
1007500000,-0.81876373291015625,
1008500000,-0.88372039794921875,
1009500000,-1.0211944580078125,
1010500000,-0.99749755859375,
1011500000,-1.05602264404296875,
1012500000,-1.12590789794921875,
1013500000,-1.20093536376953125,
1014500000,-1.2714385986328125,
1015500000,-1.1184539794921875,
1016500000,-1.33771514892578125,
1017500000,-1.1642303466796875,
1018500000,-1.42328643798828125,
1019500000,-1.4155731201171875,
1020500000,-1.40361785888671875,
1021500000,-1.38443756103515625,
1022500000,-1.67810821533203125,
1023500000,-1.45101165771484375,
1024500000,-1.73944091796875,
1025500000,-1.70267486572265625,
1026500000,-2.21453857421875,
1027500000,-2.1433258056640625,
1028500000,-2.17626190185546875,
1029500000,-2.31697845458984375,
1030500000,-1.70465087890625,
1031500000,-1.65700531005859375,
1032500000,-1.8253631591796875,
1033500000,-1.5645599365234375,
1034500000,-1.65765380859375,
1035500000,-1.33611297607421875,
1036500000,-1.32366943359375,
1037500000,-1.22403717041015625,
1038500000,-1.29871368408203125,
1039500000,-1.58629608154296875,
1040500000,-2.0076904296875,
1041500000,-2.25681304931640625,
1042500000,-2.217681884765625,
1043500000,-2.26293182373046875,
1044500000,-2.21259307861328125,
1045500000,-2.17656707763671875,
1046500000,-2.13854217529296875,
1047500000,-2.07888031005859375,
1048500000,-1.675750732421875,
1049500000,-1.869659423828125,
1050500000,-1.431854248046875,
1051500000,-1.417449951171875,
1052500000,-1.52121734619140625,
1053500000,-1.61651611328125,
1054500000,-1.50873565673828125,
1055500000,-1.99503326416015625,
1056500000,-2.1610260009765625,
1057500000,-2.3133087158203125,
1058500000,-2.32649993896484375,
1059500000,-2.53365325927734375,
1060500000,-2.492645263671875,
1061500000,-2.48734283447265625,
1062500000,-2.2899169921875,
1063500000,-2.27790069580078125,
1064500000,-2.19689178466796875,
1065500000,-1.965087890625,
1066500000,-1.6144256591796875,
1067500000,-1.24706268310546875,
1068500000,-1.1969451904296875,
1069500000,-0.85128021240234375,
1070500000,-0.458892822265625,
1071500000,-0.46372222900390625,
1072500000,-0.18437957763671875,
1073500000,-0.3776702880859375,
1074500000,-0.193115234375,
1075500000,-0.0736236572265625,
1076500000,0.0035858154296875,
1077500000,0.40694427490234375,
1078500000,0.727264404296875,
1079500000,0.92926788330078125,
1080500000,0.813751220703125,
1081500000,0.93173980712890625,
1082500000,0.8525390625,
1083500000,1.1200103759765625,
1084500000,1.53066253662109375,
1085500000,1.56220245361328125,
1086500000,1.6117095947265625,
1087500000,1.714202880859375,
1088500000,1.61649322509765625,
1089500000,1.821014404296875,
1090500000,3.12168121337890625,
1091500000,5.42008209228515625,
1092500000,5.3643798828125,
1093500000,5.36945343017578125,
1094500000,5.68802642822265625,
1095500000,10.3224639892578125,
1096500000,11.60343170166015625,
1097500000,11.88260650634765625,
1098500000,11.59033203125,
1099500000,10.30031585693359375,
1100500000,5.5765228271484375,
1101500000,5.51500701904296875,
1102500000,5.04547882080078125,
1103500000,5.1965484619140625,
1104500000,4.6251220703125,
1105500000,1.71515655517578125,
1106500000,1.27172088623046875,
1107500000,1.13562774658203125,
1108500000,0.92626953125,
1109500000,0.9592742919921875,
1110500000,1.2035064697265625,
1111500000,1.54241943359375,
1112500000,2.13068389892578125,
1113500000,2.3293304443359375,
1114500000,2.4765472412109375,
1115500000,2.75394439697265625,
1116500000,2.6334381103515625,
1117500000,2.74925994873046875,
1118500000,3.04776763916015625,
1119500000,3.37850189208984375,
1120500000,3.29897308349609375,
1121500000,3.5010528564453125,
1122500000,3.5747833251953125,
1123500000,4.282623291015625,
1124500000,4.65998077392578125,
1125500000,5.01270294189453125,
1126500000,5.38362884521484375,
1127500000,6.20227813720703125,
1128500000,6.42675018310546875,
1129500000,6.69362640380859375,
1130500000,6.69022369384765625,
1131500000,6.51908111572265625,
1132500000,6.0107879638671875,
1133500000,5.8792266845703125,
1134500000,5.60884857177734375,
1135500000,5.3523712158203125,
1136500000,5.87694549560546875,
1137500000,5.817047119140625,
1138500000,5.92340087890625,
1139500000,5.5312652587890625,
1140500000,5.118896484375,
1141500000,4.6709136962890625,
1142500000,4.44840240478515625,
1143500000,4.04965972900390625,
1144500000,3.921112060546875,
1145500000,3.393157958984375,
1146500000,2.9805145263671875,
1147500000,3.1509246826171875,
1148500000,2.73468780517578125,
1149500000,2.54030609130859375,
1150500000,2.61507415771484375,
1151500000,2.61873626708984375,
