sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,97.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,8083,
30060000,35.7158966064453125,
30180000,36.79401397705078125,
30300000,38.9412994384765625,
30420000,41.56261444091796875,
30540000,40.09378814697265625,
30660000,42.631744384765625,
30780000,43.76372528076171875,
30900000,45.0884552001953125,
31020000,42.64532470703125,
31140000,42.21691131591796875,
31260000,42.6062164306640625,
31380000,43.38440704345703125,
31500000,42.75974273681640625,
31620000,41.54337310791015625,
31740000,41.77072906494140625,
31860000,43.48516845703125,
31980000,40.58544158935546875,
32100000,40.7882232666015625,
32220000,39.0802001953125,
32340000,42.29328155517578125,
32460000,37.76776885986328125,
32580000,37.3141326904296875,
32700000,37.05477142333984375,
32820000,40.7657928466796875,
32940000,40.68640899658203125,
33060000,38.03730010986328125,
33180000,40.29003143310546875,
33300000,41.7512969970703125,
33420000,37.36277008056640625,
33540000,40.77292633056640625,
33660000,37.18115234375,
33780000,42.752227783203125,
33900000,35.4394378662109375,
34020000,34.72470855712890625,
34140000,35.35076141357421875,
34260000,38.96913909912109375,
34380000,40.6293182373046875,
34500000,38.34146881103515625,
34620000,34.9071044921875,
34740000,37.5784454345703125,
34860000,32.62952423095703125,
34980000,32.76964569091796875,
35100000,34.31927490234375,
35220000,35.81867218017578125,
35340000,25.01541900634765625,
35460000,24.4553070068359375,
35580000,30.5652923583984375,
35700000,39.4807281494140625,
35820000,32.7798309326171875,
35940000,42.64948272705078125,
36060000,37.8908843994140625,
36180000,30.0377197265625,
36300000,29.66619873046875,
36420000,22.37500762939453125,
36540000,26.1951904296875,
36660000,25.73899078369140625,
36780000,28.58776092529296875,
36900000,32.97934722900390625,
37020000,28.00768280029296875,
37140000,21.944854736328125,
37260000,20.942169189453125,
37380000,24.71089935302734375,
37500000,24.5308380126953125,
37620000,22.7251129150390625,
37740000,25.59601593017578125,
37860000,21.21431732177734375,
37980000,24.35205078125,
38100000,22.51248931884765625,
38220000,23.929046630859375,
38340000,21.71868896484375,
38460000,25.1267547607421875,
38580000,21.736236572265625,
38700000,20.4754638671875,
38820000,25.461517333984375,
38940000,25.03192901611328125,
39060000,22.740753173828125,
39180000,24.1031494140625,
39300000,20.72487640380859375,
39420000,24.08739471435546875,
39540000,22.14386749267578125,
39660000,22.71080780029296875,
39780000,22.305999755859375,
39900000,22.10085296630859375,
40020000,20.8657073974609375,
40140000,21.07802581787109375,
40260000,26.02910614013671875,
40380000,24.52373504638671875,
40500000,23.29364013671875,
40620000,24.7029266357421875,
40740000,20.15407562255859375,
40860000,20.6927337646484375,
40980000,23.08712005615234375,
41100000,22.18328094482421875,
41220000,20.04706573486328125,
41340000,22.9500579833984375,
41460000,20.36742401123046875,
41580000,21.6612548828125,
41700000,21.55379486083984375,
41820000,24.3741912841796875,
41940000,29.900665283203125,
42060000,23.15857696533203125,
42180000,19.41260528564453125,
42300000,21.656890869140625,
42420000,21.22386932373046875,
42540000,22.16265106201171875,
42660000,21.119415283203125,
42780000,22.2164459228515625,
42900000,20.0005035400390625,
43020000,21.15784454345703125,
43140000,23.21857452392578125,
43260000,22.22441864013671875,
43380000,22.61666107177734375,
43500000,23.7938995361328125,
43620000,20.93312835693359375,
43740000,21.19617462158203125,
43860000,23.03920745849609375,
43980000,22.857208251953125,
44100000,22.44709014892578125,
44220000,23.16817474365234375,
44340000,23.67423248291015625,
44460000,23.41901397705078125,
44580000,26.97869110107421875,
44700000,27.298797607421875,
44820000,25.4396820068359375,
44940000,27.57160186767578125,
45060000,24.1639251708984375,
45180000,26.4007110595703125,
45300000,26.602142333984375,
45420000,28.1085357666015625,
45540000,28.42813873291015625,
45660000,28.8850555419921875,
45780000,27.61133575439453125,
45900000,28.81243133544921875,
46020000,30.72104644775390625,
46140000,30.78755950927734375,
46260000,28.60497283935546875,
46380000,30.62023162841796875,
46500000,28.5953369140625,
46620000,28.19260406494140625,
46740000,28.7505645751953125,
46860000,29.1464691162109375,
46980000,28.27010345458984375,
47100000,28.39325714111328125,
47220000,26.83118438720703125,
47340000,25.586212158203125,
47460000,27.894561767578125,
47580000,28.2288360595703125,
47700000,27.20929718017578125,
47820000,27.88359832763671875,
47940000,31.643341064453125,
48060000,25.82225799560546875,
48180000,26.33448028564453125,
48300000,27.2900543212890625,
48420000,25.76483917236328125,
48540000,25.421966552734375,
48660000,23.372802734375,
48780000,23.62316131591796875,
48900000,23.93296051025390625,
49020000,24.56400299072265625,
49140000,24.3606109619140625,
49260000,24.48368072509765625,
49380000,22.35178375244140625,
49500000,22.1474456787109375,
49620000,21.99045562744140625,
49740000,21.84686279296875,
49860000,20.88599395751953125,
49980000,21.39269256591796875,
50100000,21.5097808837890625,
50220000,21.0876312255859375,
