sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,77.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,-7.74413299560546875,
9300,-5.98288726806640625,
9500,-6.7540283203125,
9700,-7.39481353759765625,
9900,-8.94919586181640625,
10100,-7.91675567626953125,
10300,-6.62050628662109375,
10500,-4.279388427734375,
10700,-8.29689788818359375,
10900,-4.38927459716796875,
11100,-6.68679046630859375,
11300,-8.162200927734375,
11500,-5.51956939697265625,
11700,-7.3597564697265625,
11900,-7.00998687744140625,
12100,-5.57691192626953125,
12300,-4.33702850341796875,
12500,-6.33119964599609375,
12700,-9.253570556640625,
12900,-7.9168548583984375,
13100,-5.438629150390625,
13300,-5.7380523681640625,
13500,-7.0098114013671875,
13700,-5.8926239013671875,
13900,-5.2640533447265625,
14100,-5.9329071044921875,
14300,-7.7225341796875,
14500,-7.60533905029296875,
14700,-6.82970428466796875,
14900,-6.6712646484375,
15100,-7.302032470703125,
15300,-7.22042083740234375,
15500,-5.54764556884765625,
15700,-6.3069915771484375,
15900,-8.2940673828125,
16100,-5.123291015625,
16300,-4.6107025146484375,
16500,-6.23546600341796875,
16700,-6.86019134521484375,
16900,-5.0372467041015625,
17100,-5.58687591552734375,
17300,-5.53835296630859375,
17500,-6.1851959228515625,
17700,-7.52333831787109375,
17900,-7.04717254638671875,
18100,-6.2996978759765625,
18300,-6.99927520751953125,
18500,2.8414154052734375,
18700,-1.48455810546875,
18900,-8.63686370849609375,
19100,-5.3693084716796875,
19300,-6.66326904296875,
19500,-5.42633056640625,
19700,-5.0031890869140625,
19900,-6.68614959716796875,
20100,-6.655120849609375,
20300,-3.758758544921875,
20500,-3.7887115478515625,
20700,-5.39714813232421875,
20900,-6.54206085205078125,
21100,-6.39670562744140625,
21300,-8.77684783935546875,
21500,-4.654388427734375,
21700,-4.4645843505859375,
21900,5.625152587890625,
22100,10.2187652587890625,
22300,1.8678741455078125,
22500,-6.37012481689453125,
22700,-4.8357696533203125,
22900,-4.211212158203125,
23100,-3.39647674560546875,
23300,-1.90921783447265625,
23500,-3.7352142333984375,
23700,-3.46833038330078125,
23900,-5.110260009765625,
24100,-3.57285308837890625,
24300,-3.1662445068359375,
24500,-1.20966339111328125,
24700,-3.69284820556640625,
24900,-7.50189971923828125,
25100,-5.66649627685546875,
25300,-3.80921173095703125,
25500,-3.88471221923828125,
25700,-7.35562896728515625,
25900,-6.7812652587890625,
26100,-6.11822509765625,
26300,-5.9276123046875,
26500,-5.95355224609375,
26700,-5.34931182861328125,
26900,-3.90386199951171875,
27100,-6.4373321533203125,
27300,-5.7259674072265625,
27500,-2.981689453125,
27700,-3.387054443359375,
27900,-3.92491912841796875,
28100,-3.8451385498046875,
28300,-5.98529052734375,
28500,-5.13230133056640625,
28700,-3.89807891845703125,
28900,-3.65879058837890625,
29100,-3.90398406982421875,
29300,-3.14424896240234375,
29500,-5.1152191162109375,
29700,-5.4679412841796875,
29900,-7.41564178466796875,
30100,-5.44806671142578125,
30300,-4.4869842529296875,
30500,-6.02812957763671875,
30700,-5.55631256103515625,
30900,-5.885833740234375,
31100,-5.11244964599609375,
31300,-4.896484375,
31500,-4.97795867919921875,
31700,-4.69438934326171875,
31900,-4.76033782958984375,
32100,-9.31207275390625,
32300,-6.22980499267578125,
32500,-6.33251190185546875,
32700,-5.51476287841796875,
32900,-4.146636962890625,
33100,-5.96807098388671875,
33300,-5.21112823486328125,
33500,-5.2279510498046875,
33700,-8.72437286376953125,
33900,-6.33345794677734375,
34100,-5.9223175048828125,
34300,-5.68587493896484375,
34500,-4.51732635498046875,
34700,-4.40055084228515625,
34900,-4.5943603515625,
35100,-7.1863861083984375,
35300,-5.719390869140625,
35500,-6.146270751953125,
35700,-6.28983306884765625,
35900,-4.4173126220703125,
36100,-4.91077423095703125,
36300,-6.46700286865234375,
36500,-6.2881622314453125,
36700,-5.14752960205078125,
36900,-5.3069610595703125,
37100,-1.458038330078125,
37300,-1.1068267822265625,
37500,-3.8264007568359375,
37700,-5.77852630615234375,
37900,-6.9537506103515625,
38100,-7.43173980712890625,
38300,-5.88124847412109375,
38500,-5.44366455078125,
38700,-4.52077484130859375,
38900,-3.8482513427734375,
39100,-7.5755767822265625,
39300,-7.79000091552734375,
39500,-9.01100921630859375,
39700,-7.00908660888671875,
39900,-1.52519989013671875,
40100,-1.85312652587890625,
40300,-6.55127716064453125,
40500,-5.76094818115234375,
40700,-6.377685546875,
40900,-5.70941162109375,
41100,-6.3691864013671875,
41300,-7.48410797119140625,
41500,-7.2857208251953125,
41700,-5.85398101806640625,
41900,-6.5543060302734375,
42100,-5.0283050537109375,
42300,-6.1329193115234375,
42500,-6.12186431884765625,
42700,-6.38603973388671875,
