sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,8083,
30060000,31.54170989990234375,
30180000,33.9340362548828125,
30300000,35.1517791748046875,
30420000,36.59340667724609375,
30540000,39.044952392578125,
30660000,42.00907135009765625,
30780000,46.213565826416015625,
30900000,50.394992828369140625,
31020000,50.14479827880859375,
31140000,50.2009124755859375,
31260000,48.43083953857421875,
31380000,46.162353515625,
31500000,44.664276123046875,
31620000,45.152233123779296875,
31740000,43.2378692626953125,
31860000,41.1136322021484375,
31980000,41.6119537353515625,
32100000,39.45995330810546875,
32220000,40.18894195556640625,
32340000,41.97122955322265625,
32460000,42.092437744140625,
32580000,41.24639892578125,
32700000,43.897228240966796875,
32820000,39.93669891357421875,
32940000,51.3009796142578125,
33060000,45.5777130126953125,
33180000,39.06060028076171875,
33300000,38.2828826904296875,
33420000,42.46527862548828125,
33540000,39.29691314697265625,
33660000,40.6873016357421875,
33780000,39.57740020751953125,
33900000,35.85791015625,
34020000,38.96886444091796875,
34140000,39.42174530029296875,
34260000,36.14699554443359375,
34380000,39.072998046875,
34500000,38.5094757080078125,
34620000,32.94522857666015625,
34740000,31.5392608642578125,
34860000,35.7944488525390625,
34980000,31.7406463623046875,
35100000,34.0813140869140625,
35220000,34.22844696044921875,
35340000,35.359893798828125,
35460000,33.19080352783203125,
35580000,37.35807037353515625,
35700000,39.9171600341796875,
35820000,36.9681854248046875,
35940000,44.705913543701171875,
36060000,32.9716796875,
36180000,27.96099853515625,
36300000,32.75530242919921875,
36420000,32.42888641357421875,
36540000,24.8261871337890625,
36660000,33.88549041748046875,
36780000,31.2617340087890625,
36900000,34.392669677734375,
37020000,24.065032958984375,
37140000,27.74428558349609375,
37260000,29.0682830810546875,
37380000,25.445220947265625,
37500000,22.604400634765625,
37620000,25.98748016357421875,
37740000,27.54550933837890625,
37860000,26.46710968017578125,
37980000,23.7098388671875,
38100000,29.68175506591796875,
38220000,26.5879669189453125,
38340000,21.787689208984375,
38460000,21.60982513427734375,
38580000,25.633087158203125,
38700000,26.11132049560546875,
38820000,22.14881134033203125,
38940000,21.8546600341796875,
39060000,20.78570556640625,
39180000,26.7849273681640625,
39300000,24.1064453125,
39420000,20.82244110107421875,
39540000,25.58162689208984375,
39660000,25.174591064453125,
39780000,21.708953857421875,
39900000,21.09297943115234375,
40020000,23.42192840576171875,
40140000,24.675567626953125,
40260000,24.04602813720703125,
40380000,22.8514251708984375,
40500000,22.03366851806640625,
40620000,24.37271881103515625,
40740000,23.04570770263671875,
40860000,22.15648651123046875,
40980000,26.7394256591796875,
41100000,24.91967010498046875,
41220000,21.22716522216796875,
41340000,20.8865814208984375,
41460000,22.81732177734375,
41580000,23.28572845458984375,
41700000,20.9841766357421875,
41820000,22.17969512939453125,
41940000,31.31390380859375,
42060000,23.553497314453125,
42180000,21.8560791015625,
42300000,21.6808624267578125,
42420000,22.466827392578125,
42540000,22.9881134033203125,
42660000,22.0230255126953125,
42780000,21.46683502197265625,
42900000,21.774200439453125,
43020000,22.42015838623046875,
43140000,21.91819000244140625,
43260000,21.5723876953125,
43380000,24.04862213134765625,
43500000,23.035614013671875,
43620000,21.8798370361328125,
43740000,23.31023406982421875,
43860000,24.0111236572265625,
43980000,23.26049041748046875,
44100000,22.14239501953125,
44220000,22.28600311279296875,
44340000,23.98090362548828125,
44460000,24.70880889892578125,
44580000,22.0750274658203125,
44700000,23.0505828857421875,
44820000,21.50363922119140625,
44940000,24.522430419921875,
45060000,22.472320556640625,
45180000,20.88457489013671875,
45300000,23.55101776123046875,
45420000,22.219390869140625,
45540000,21.76750946044921875,
45660000,20.629547119140625,
45780000,22.34687042236328125,
45900000,21.992401123046875,
46020000,21.2673797607421875,
46140000,20.46494293212890625,
46260000,20.405731201171875,
46380000,23.04956817626953125,
46500000,20.722900390625,
46620000,22.52069091796875,
46740000,22.831878662109375,
46860000,22.615692138671875,
46980000,21.20394134521484375,
47100000,21.96411895751953125,
47220000,22.57381439208984375,
47340000,22.56320953369140625,
47460000,22.992279052734375,
47580000,21.58766937255859375,
47700000,22.38722991943359375,
47820000,22.89357757568359375,
47940000,27.36821746826171875,
48060000,23.69202423095703125,
48180000,23.03157806396484375,
48300000,22.5826416015625,
48420000,22.4623260498046875,
48540000,22.98349761962890625,
48660000,22.2166595458984375,
48780000,22.10494232177734375,
48900000,22.67734527587890625,
49020000,22.18906402587890625,
49140000,23.293243408203125,
49260000,24.72878265380859375,
49380000,24.444488525390625,
49500000,24.6021575927734375,
49620000,24.8585968017578125,
49740000,24.91831207275390625,
49860000,24.7276763916015625,
49980000,24.32080078125,
50100000,23.916107177734375,
50220000,23.94921112060546875,
50340000,23.2073516845703125,
