sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,99.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,5.91226959228515625,
9300,5.2299346923828125,
9500,5.05255889892578125,
9700,4.06812286376953125,
9900,7.7120361328125,
10100,10.00064849853515625,
10300,12.02243804931640625,
10500,9.594390869140625,
10700,6.04752349853515625,
10900,5.999298095703125,
11100,7.623199462890625,
11300,7.832000732421875,
11500,10.0639495849609375,
11700,11.32054901123046875,
11900,10.03983306884765625,
12100,11.04327392578125,
12300,14.0938262939453125,
12500,18.76340484619140625,
12700,19.94457244873046875,
12900,23.6406097412109375,
13100,32.37366485595703125,
13300,35.41283416748046875,
13500,22.5277252197265625,
13700,21.2243194580078125,
13900,16.487060546875,
14100,17.10089874267578125,
14300,13.66754913330078125,
14500,11.425537109375,
14700,12.3443450927734375,
14900,9.78105926513671875,
15100,8.66587066650390625,
15300,10.61358642578125,
15500,8.6825408935546875,
15700,7.86296844482421875,
15900,7.880859375,
16100,9.0079345703125,
16300,10.5258941650390625,
16500,11.50731658935546875,
16700,10.7884063720703125,
16900,8.8873443603515625,
17100,10.79221343994140625,
17300,12.38336944580078125,
17500,15.1640472412109375,
17700,15.0963287353515625,
17900,15.0256195068359375,
18100,16.00078582763671875,
18300,21.57782745361328125,
18500,31.12859344482421875,
18700,26.10451507568359375,
18900,22.18727874755859375,
19100,18.98645782470703125,
19300,17.09404754638671875,
19500,20.87574005126953125,
19700,20.5167083740234375,
19900,21.6442108154296875,
20100,23.724456787109375,
20300,26.57045745849609375,
20500,26.4647369384765625,
20700,23.01934051513671875,
20900,25.90265655517578125,
21100,28.87645721435546875,
21300,27.14902496337890625,
21500,27.17478179931640625,
21700,28.96289825439453125,
21900,37.5417938232421875,
22100,39.21378326416015625,
22300,31.86650848388671875,
22500,23.98720550537109375,
22700,22.9345703125,
22900,21.54888916015625,
23100,20.156951904296875,
23300,17.74610137939453125,
23500,18.8285675048828125,
23700,18.75637054443359375,
23900,13.55612945556640625,
24100,14.47643280029296875,
24300,15.84050750732421875,
24500,16.33512115478515625,
24700,15.70641326904296875,
24900,14.8838348388671875,
25100,15.83890533447265625,
25300,17.00092315673828125,
25500,14.2929229736328125,
25700,18.01825714111328125,
25900,17.552093505859375,
26100,17.88913726806640625,
26300,17.09391021728515625,
26500,28.8164825439453125,
26700,32.07141876220703125,
26900,17.0502777099609375,
27100,14.031646728515625,
27300,12.5039825439453125,
27500,13.8044586181640625,
27700,11.907073974609375,
27900,11.50299835205078125,
28100,10.2348175048828125,
28300,8.7442169189453125,
28500,11.1521453857421875,
28700,10.288421630859375,
28900,10.17940521240234375,
29100,12.62616729736328125,
29300,8.9482269287109375,
29500,12.13039398193359375,
29700,10.0393524169921875,
29900,12.26239013671875,
30100,11.2366790771484375,
30300,10.40282440185546875,
30500,12.46039581298828125,
30700,11.80462646484375,
30900,10.86669158935546875,
31100,10.99179840087890625,
31300,9.31146240234375,
31500,10.66568756103515625,
31700,9.8981475830078125,
31900,11.44731903076171875,
32100,12.605804443359375,
32300,11.55110931396484375,
32500,11.146453857421875,
32700,10.43244171142578125,
32900,11.01857757568359375,
33100,10.2481536865234375,
33300,9.2677459716796875,
33500,9.360015869140625,
33700,11.48386383056640625,
33900,11.850341796875,
34100,8.9402618408203125,
34300,10.04721832275390625,
34500,10.558837890625,
34700,7.99768829345703125,
34900,8.3226165771484375,
35100,8.2877960205078125,
35300,10.74700927734375,
35500,11.8762664794921875,
35700,10.87747955322265625,
35900,12.07666015625,
36100,7.70245361328125,
36300,9.45760345458984375,
36500,9.85948944091796875,
36700,11.36023712158203125,
36900,16.60047149658203125,
37100,26.273651123046875,
37300,25.26361083984375,
37500,12.70233154296875,
37700,10.59803009033203125,
37900,10.2095184326171875,
38100,8.6462249755859375,
38300,8.616485595703125,
38500,11.36041259765625,
38700,10.7915802001953125,
38900,9.46984100341796875,
39100,11.58899688720703125,
39300,12.00354766845703125,
39500,10.53345489501953125,
39700,10.92304229736328125,
39900,23.9356536865234375,
40100,26.17798614501953125,
40300,12.22750091552734375,
40500,12.0932464599609375,
40700,12.36562347412109375,
40900,12.209320068359375,
41100,11.9022369384765625,
41300,11.11980438232421875,
41500,12.82515716552734375,
41700,13.84340667724609375,
41900,15.823883056640625,
42100,17.69791412353515625,
42300,17.4651641845703125,
42500,15.2164459228515625,
42700,15.91867828369140625,
42900,18.4510345458984375,
43100,18.8673248291015625,
43300,25.574951171875,
43500,25.2259521484375,
43700,33.0270538330078125,
43900,33.95743560791015625,
44100,46.508182525634765625,
44300,48.06465911865234375,
44500,41.88067626953125,
44700,32.594207763671875,
44900,31.07819366455078125,
45100,22.97955322265625,
45300,23.0235748291015625,
45500,17.8580474853515625,
