sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,8083,
30060000,42.409881591796875,
30180000,43.99460601806640625,
30300000,41.9731292724609375,
30420000,43.0536346435546875,
30540000,41.67058563232421875,
30660000,42.40346527099609375,
30780000,42.60372161865234375,
30900000,41.52083587646484375,
31020000,42.50765228271484375,
31140000,44.957950592041015625,
31260000,44.22791290283203125,
31380000,44.79619598388671875,
31500000,45.00000762939453125,
31620000,46.295032501220703125,
31740000,45.711071014404296875,
31860000,45.515003204345703125,
31980000,45.453914642333984375,
32100000,47.772121429443359375,
32220000,47.885158538818359375,
32340000,44.937732696533203125,
32460000,44.847934722900390625,
32580000,45.304119110107421875,
32700000,44.46926116943359375,
32820000,43.880428314208984375,
32940000,42.812744140625,
33060000,41.5408782958984375,
33180000,40.16504669189453125,
33300000,40.7682037353515625,
33420000,40.63451385498046875,
33540000,39.810516357421875,
33660000,40.2400665283203125,
33780000,37.14662933349609375,
33900000,37.26634979248046875,
34020000,40.011871337890625,
34140000,37.38193511962890625,
34260000,38.1242828369140625,
34380000,35.18886566162109375,
34500000,33.76599884033203125,
34620000,34.87209320068359375,
34740000,34.9257659912109375,
34860000,35.14641571044921875,
34980000,36.84510040283203125,
35100000,36.1042022705078125,
35220000,28.3925323486328125,
35340000,37.31076812744140625,
35460000,33.9706573486328125,
35580000,33.77085113525390625,
35700000,38.1657257080078125,
35820000,34.1345062255859375,
35940000,44.05843353271484375,
36060000,30.91471099853515625,
36180000,31.06508636474609375,
36300000,24.337127685546875,
36420000,32.24027252197265625,
36540000,28.90375518798828125,
36660000,22.153839111328125,
36780000,31.679718017578125,
36900000,31.757232666015625,
37020000,28.65062713623046875,
37140000,26.78448486328125,
37260000,21.61540985107421875,
37380000,25.1661834716796875,
37500000,22.3020782470703125,
37620000,22.31771087646484375,
37740000,22.36577606201171875,
37860000,25.33039093017578125,
37980000,24.68230438232421875,
38100000,23.69178009033203125,
38220000,25.919342041015625,
38340000,23.92002105712890625,
38460000,25.1218719482421875,
38580000,23.94286346435546875,
38700000,20.70421600341796875,
38820000,21.25592041015625,
38940000,22.15740203857421875,
39060000,24.103240966796875,
39180000,20.5628814697265625,
39300000,23.5800018310546875,
39420000,22.2874755859375,
39540000,21.91878509521484375,
39660000,25.91583251953125,
39780000,25.4086151123046875,
39900000,25.2177276611328125,
40020000,24.35805511474609375,
40140000,21.52630615234375,
40260000,21.627166748046875,
40380000,21.78957366943359375,
40500000,23.093170166015625,
40620000,21.110443115234375,
40740000,22.60953521728515625,
40860000,22.56839752197265625,
40980000,20.8219451904296875,
41100000,23.84002685546875,
41220000,22.9544677734375,
41340000,22.501068115234375,
41460000,21.72179412841796875,
41580000,20.74560546875,
41700000,20.63735198974609375,
41820000,20.8412322998046875,
41940000,28.26319122314453125,
42060000,21.2925262451171875,
42180000,20.44489288330078125,
42300000,21.66587066650390625,
42420000,21.50115203857421875,
42540000,21.7254486083984375,
42660000,22.40659332275390625,
42780000,22.7459716796875,
42900000,21.60248565673828125,
43020000,22.1912841796875,
43140000,22.07476043701171875,
43260000,21.97605133056640625,
43380000,23.82379150390625,
43500000,25.56238555908203125,
43620000,24.1961212158203125,
43740000,23.775177001953125,
43860000,22.07656097412109375,
43980000,25.48724365234375,
44100000,26.0746307373046875,
44220000,25.61223602294921875,
44340000,23.22930145263671875,
44460000,22.727447509765625,
44580000,22.8081817626953125,
44700000,23.78546905517578125,
44820000,24.84212493896484375,
44940000,22.9754791259765625,
45060000,24.845184326171875,
45180000,26.24259185791015625,
45300000,23.82714080810546875,
45420000,26.03475189208984375,
45540000,26.76638031005859375,
45660000,29.6126708984375,
45780000,27.05947113037109375,
45900000,26.2089385986328125,
46020000,26.59807586669921875,
46140000,27.26528167724609375,
46260000,28.30728912353515625,
46380000,27.0479583740234375,
46500000,27.500732421875,
46620000,29.84285736083984375,
46740000,27.1624603271484375,
46860000,28.05399322509765625,
46980000,28.06017303466796875,
47100000,28.087677001953125,
47220000,27.49941253662109375,
47340000,25.9398193359375,
47460000,26.0527191162109375,
47580000,26.59735107421875,
47700000,26.29729461669921875,
47820000,25.9876251220703125,
47940000,29.17223358154296875,
48060000,25.980377197265625,
48180000,25.225921630859375,
48300000,24.820831298828125,
48420000,25.77252197265625,
48540000,25.05231475830078125,
48660000,24.65309906005859375,
48780000,25.4050445556640625,
48900000,25.5966796875,
49020000,24.12758636474609375,
49140000,24.1746368408203125,
49260000,23.26956939697265625,
49380000,22.8632354736328125,
49500000,22.3452606201171875,
49620000,23.116302490234375,
49740000,21.7928619384765625,
49860000,21.45941925048828125,
49980000,21.3448638916015625,
50100000,21.51787567138671875,
50220000,21.73499298095703125,
