sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,82.160000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,99.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,-6.61258697509765625,
9300,-5.33838653564453125,
9500,-4.57517242431640625,
9700,-7.8998870849609375,
9900,-6.0170745849609375,
10100,-4.9962158203125,
10300,-6.1545257568359375,
10500,-6.97971343994140625,
10700,-7.61197662353515625,
10900,-6.19610595703125,
11100,-7.6449737548828125,
11300,-6.40229034423828125,
11500,-7.0638885498046875,
11700,-6.73326873779296875,
11900,-6.35845184326171875,
12100,-7.56191253662109375,
12300,-7.611419677734375,
12500,-5.46115875244140625,
12700,-6.5802764892578125,
12900,-6.7243499755859375,
13100,-5.30376434326171875,
13300,-9.2882537841796875,
13500,-5.2016448974609375,
13700,-4.8344879150390625,
13900,-5.3537750244140625,
14100,-7.02577972412109375,
14300,-7.22315216064453125,
14500,-6.82263946533203125,
14700,-6.54126739501953125,
14900,-6.176025390625,
15100,-7.1572265625,
15300,-6.06620025634765625,
15500,-6.80596160888671875,
15700,-5.70633697509765625,
15900,-4.26244354248046875,
16100,-6.6347198486328125,
16300,-5.32549285888671875,
16500,-6.54296875,
16700,-7.7522125244140625,
16900,-6.801361083984375,
17100,-6.66233062744140625,
17300,-5.75557708740234375,
17500,-5.79032135009765625,
17700,-4.43585205078125,
17900,-6.4918670654296875,
18100,-9.80735015869140625,
18300,-6.02523040771484375,
18500,0.60536956787109375,
18700,-4.6468505859375,
18900,-4.93067169189453125,
19100,-5.83657073974609375,
19300,-6.73780059814453125,
19500,-4.8560638427734375,
19700,-6.15185546875,
19900,-4.7389373779296875,
20100,-6.05205535888671875,
20300,-4.83447265625,
20500,-3.7127838134765625,
20700,-4.1519317626953125,
20900,-5.7079315185546875,
21100,-5.44196319580078125,
21300,-4.89012908935546875,
21500,-4.93731689453125,
21700,-3.8555450439453125,
21900,7.44692230224609375,
22100,10.668792724609375,
22300,-0.05277252197265625,
22500,-5.55889892578125,
22700,-3.6271209716796875,
22900,-3.54354095458984375,
23100,-2.8455963134765625,
23300,-4.91194915771484375,
23500,-4.8399810791015625,
23700,-5.114501953125,
23900,-4.782623291015625,
24100,-5.029571533203125,
24300,-5.873199462890625,
24500,-3.4346466064453125,
24700,-3.51522064208984375,
24900,-4.18341827392578125,
25100,-3.7246551513671875,
25300,-5.1067047119140625,
25500,-2.9309539794921875,
25700,-3.81745147705078125,
25900,-2.4398956298828125,
26100,-3.50601959228515625,
26300,-4.204620361328125,
26500,-3.04813385009765625,
26700,-4.173614501953125,
26900,-7.10897064208984375,
27100,-6.27217864990234375,
27300,-6.97765350341796875,
27500,-3.5498199462890625,
27700,-4.9901885986328125,
27900,-5.655975341796875,
28100,-4.5312957763671875,
28300,-4.572723388671875,
28500,-3.0428619384765625,
28700,-4.565338134765625,
28900,-5.72817230224609375,
29100,-4.47028350830078125,
29300,-3.30483245849609375,
29500,-5.9190826416015625,
29700,-4.858489990234375,
29900,-5.588958740234375,
30100,-5.90509796142578125,
30300,-7.59719085693359375,
30500,-6.22792816162109375,
30700,-7.64827728271484375,
30900,-7.7598876953125,
31100,-7.02062225341796875,
31300,-6.30048370361328125,
31500,-6.02735137939453125,
31700,-3.891845703125,
31900,-4.58824920654296875,
32100,-2.40847015380859375,
32300,-3.089752197265625,
32500,-4.12065887451171875,
32700,-5.1905975341796875,
32900,-2.887664794921875,
33100,-4.00722503662109375,
33300,-8.141387939453125,
33500,-6.93747711181640625,
33700,-7.11199188232421875,
33900,-5.2281494140625,
34100,-4.14994049072265625,
34300,-5.2854766845703125,
34500,-4.328857421875,
34700,-3.81769561767578125,
34900,-6.071563720703125,
35100,-5.2639923095703125,
35300,-5.0700225830078125,
35500,-7.5693206787109375,
35700,-5.67829132080078125,
35900,-8.113006591796875,
36100,-7.17681884765625,
36300,-5.5682830810546875,
36500,-7.07205963134765625,
36700,-6.241119384765625,
36900,-6.50264739990234375,
37100,-0.53237152099609375,
37300,-2.1348876953125,
37500,-5.50107574462890625,
37700,-5.68094635009765625,
37900,-5.2774810791015625,
38100,-4.63219451904296875,
38300,-6.029022216796875,
38500,-4.976898193359375,
38700,-6.7945709228515625,
38900,-5.3257598876953125,
39100,-5.45539093017578125,
39300,-4.57268524169921875,
39500,-6.41397857666015625,
39700,-5.6569061279296875,
39900,-3.65668487548828125,
40100,-3.19097900390625,
40300,-4.1615142822265625,
40500,-5.6724090576171875,
40700,-5.18194580078125,
40900,-7.138702392578125,
41100,-6.92034149169921875,
41300,-4.96901702880859375,
41500,-3.92864227294921875,
41700,-5.0157928466796875,
41900,-6.3995208740234375,
42100,-5.52292633056640625,
42300,-6.36597442626953125,
42500,-6.8776702880859375,
42700,-6.82854461669921875,
42900,-6.06433868408203125,
