sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,82.160000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,99.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,-5.00846099853515625,
9300,-9.21410369873046875,
9500,-7.675994873046875,
9700,-5.2970733642578125,
9900,-6.2600860595703125,
10100,-7.28713226318359375,
10300,-6.24965667724609375,
10500,-5.54103851318359375,
10700,-4.80950927734375,
10900,-5.146942138671875,
11100,-5.196319580078125,
11300,-5.57598876953125,
11500,-4.893096923828125,
11700,-6.3494415283203125,
11900,-6.03878021240234375,
12100,-9.16992950439453125,
12300,-8.76282501220703125,
12500,-6.2447509765625,
12700,-7.35245513916015625,
12900,-8.84188079833984375,
13100,-8.63674163818359375,
13300,-6.8122406005859375,
13500,-6.50316619873046875,
13700,-6.36974334716796875,
13900,-5.0612030029296875,
14100,-7.348175048828125,
14300,-7.3741607666015625,
14500,-7.636871337890625,
14700,-10.53985595703125,
14900,-8.1762847900390625,
15100,-7.07781219482421875,
15300,-9.40886688232421875,
15500,-9.8795013427734375,
15700,-8.12389373779296875,
15900,-7.134674072265625,
16100,-6.6424407958984375,
16300,-5.762908935546875,
16500,-6.753204345703125,
16700,-7.16310882568359375,
16900,-5.188568115234375,
17100,-6.01317596435546875,
17300,-7.09777069091796875,
17500,-7.7169342041015625,
17700,-5.37497711181640625,
17900,-6.57623291015625,
18100,-6.98358154296875,
18300,-7.11151123046875,
18500,2.8815155029296875,
18700,-1.22875213623046875,
18900,-4.5258636474609375,
19100,-5.8221282958984375,
19300,-5.310028076171875,
19500,-7.25644683837890625,
19700,-7.12946319580078125,
19900,-6.04041290283203125,
20100,-4.36312103271484375,
20300,-5.1096649169921875,
20500,-4.3914337158203125,
20700,-4.52027130126953125,
20900,-2.19537353515625,
21100,-4.65119171142578125,
21300,-4.92804718017578125,
21500,-0.8524322509765625,
21700,-0.58756256103515625,
21900,15.30924224853515625,
22100,18.98635101318359375,
22300,12.18929290771484375,
22500,0.3089599609375,
22700,1.33341217041015625,
22900,-2.59647369384765625,
23100,1.1013946533203125,
23300,-2.04628753662109375,
23500,-5.845855712890625,
23700,-1.910400390625,
23900,-1.98429107666015625,
24100,-3.51421356201171875,
24300,-3.09490203857421875,
24500,-3.63480377197265625,
24700,-3.989166259765625,
24900,-4.02812957763671875,
25100,-2.591064453125,
25300,-2.70691680908203125,
25500,-2.5159454345703125,
25700,-4.67608642578125,
25900,-3.58029937744140625,
26100,-0.54262542724609375,
26300,0.28289794921875,
26500,-1.01352691650390625,
26700,-1.07167816162109375,
26900,-2.3043212890625,
27100,-1.25,
27300,-1.35015869140625,
27500,0.23095703125,
27700,-1.014617919921875,
27900,-2.64322662353515625,
28100,-1.6781768798828125,
28300,-0.25531005859375,
28500,0.191131591796875,
28700,-0.91943359375,
28900,1.27419281005859375,
29100,0.1645660400390625,
29300,1.224151611328125,
29500,0.2989501953125,
29700,-0.58331298828125,
29900,-0.06105804443359375,
30100,0.3386993408203125,
30300,-0.11553955078125,
30500,-0.673431396484375,
30700,-2.27924346923828125,
30900,-3.2529449462890625,
31100,-4.21956634521484375,
31300,-1.9113311767578125,
31500,-3.3147735595703125,
31700,-2.16998291015625,
31900,-2.30678558349609375,
32100,-3.96045684814453125,
32300,-2.15301513671875,
32500,-2.6057891845703125,
32700,-5.98285675048828125,
32900,-3.6197509765625,
33100,-5.04079437255859375,
33300,-4.044403076171875,
33500,-3.50595855712890625,
33700,-5.81951904296875,
33900,-5.48702239990234375,
34100,-4.29198455810546875,
34300,-5.2766265869140625,
34500,-3.7339630126953125,
34700,-3.6376800537109375,
34900,-4.10416412353515625,
35100,-5.33036041259765625,
35300,-6.341827392578125,
35500,-2.86577606201171875,
35700,-6.076873779296875,
35900,-8.545623779296875,
36100,-5.54036712646484375,
36300,-6.1081085205078125,
36500,-6.35462188720703125,
36700,-6.69614410400390625,
36900,-3.85282135009765625,
37100,-0.3043060302734375,
37300,0.53087615966796875,
37500,-5.2197723388671875,
37700,-4.1620635986328125,
37900,-7.09326934814453125,
38100,-5.3384246826171875,
38300,-5.2625274658203125,
38500,-6.00848388671875,
38700,-5.2367095947265625,
38900,-6.73650360107421875,
39100,-4.70490264892578125,
39300,-4.9980926513671875,
39500,-3.74756622314453125,
39700,-5.072052001953125,
39900,-1.95890045166015625,
40100,-1.14282989501953125,
40300,-4.726837158203125,
40500,-5.54302215576171875,
40700,-3.542083740234375,
40900,-4.79439544677734375,
41100,-5.197662353515625,
41300,-4.89101409912109375,
41500,-3.91710662841796875,
41700,-4.92889404296875,
41900,-4.66825103759765625,
42100,-3.4255828857421875,
42300,-4.56560516357421875,
42500,-4.701934814453125,
42700,-3.48199462890625,
42900,-1.9526214599609375,
43100,-1.52092742919921875,
43300,-3.748779296875,
