sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,8083,
30060000,40.9520721435546875,
30180000,41.97376251220703125,
30300000,43.66973114013671875,
30420000,41.60410308837890625,
30540000,43.032161712646484375,
30660000,42.4076690673828125,
30780000,44.1746673583984375,
30900000,42.78089141845703125,
31020000,45.7624359130859375,
31140000,47.385715484619140625,
31260000,46.490451812744140625,
31380000,44.140384674072265625,
31500000,45.188144683837890625,
31620000,45.666347503662109375,
31740000,45.819370269775390625,
31860000,45.80033111572265625,
31980000,45.5087432861328125,
32100000,45.92675018310546875,
32220000,45.156505584716796875,
32340000,51.64429473876953125,
32460000,50.481166839599609375,
32580000,45.108852386474609375,
32700000,45.233734130859375,
32820000,42.83885955810546875,
32940000,44.452754974365234375,
33060000,42.7468414306640625,
33180000,43.0075836181640625,
33300000,40.20660400390625,
33420000,41.93035888671875,
33540000,41.39667510986328125,
33660000,39.89588165283203125,
33780000,38.8443450927734375,
33900000,39.66925811767578125,
34020000,37.10711669921875,
34140000,36.96010589599609375,
34260000,36.37761688232421875,
34380000,38.23209381103515625,
34500000,35.1895751953125,
34620000,37.04573822021484375,
34740000,33.24358367919921875,
34860000,33.84583282470703125,
34980000,33.48565673828125,
35100000,33.47251129150390625,
35220000,31.38323211669921875,
35340000,33.2281036376953125,
35460000,30.520660400390625,
35580000,33.83405303955078125,
35700000,37.83554840087890625,
35820000,37.0841827392578125,
35940000,43.0128021240234375,
36060000,28.13922882080078125,
36180000,32.638519287109375,
36300000,32.7655792236328125,
36420000,26.9015045166015625,
36540000,21.83750152587890625,
36660000,24.4150848388671875,
36780000,28.53829193115234375,
36900000,33.05963897705078125,
37020000,25.35810089111328125,
37140000,24.92896270751953125,
37260000,24.0114288330078125,
37380000,26.98937225341796875,
37500000,24.29738616943359375,
37620000,25.34688568115234375,
37740000,25.77324676513671875,
37860000,22.8121490478515625,
37980000,21.97225189208984375,
38100000,21.83696746826171875,
38220000,23.6950225830078125,
38340000,23.74312591552734375,
38460000,23.16837310791015625,
38580000,23.97704315185546875,
38700000,21.74817657470703125,
38820000,23.8426513671875,
38940000,21.64447021484375,
39060000,25.04248046875,
39180000,24.84114837646484375,
39300000,23.5596771240234375,
39420000,20.844970703125,
39540000,22.97002410888671875,
39660000,24.56740570068359375,
39780000,24.84938812255859375,
39900000,21.7854766845703125,
40020000,23.74153900146484375,
40140000,24.61280059814453125,
40260000,24.0076141357421875,
40380000,22.21569061279296875,
40500000,25.9911041259765625,
40620000,24.06819915771484375,
40740000,21.7656402587890625,
40860000,20.885467529296875,
40980000,21.3072967529296875,
41100000,22.5261383056640625,
41220000,22.6986083984375,
41340000,20.02448272705078125,
41460000,21.34493255615234375,
41580000,21.7496490478515625,
41700000,21.41571044921875,
41820000,21.8464508056640625,
41940000,29.86273956298828125,
42060000,23.425506591796875,
42180000,20.94638824462890625,
42300000,21.482086181640625,
42420000,20.666046142578125,
42540000,23.25777435302734375,
42660000,22.021881103515625,
42780000,22.778656005859375,
42900000,22.751373291015625,
43020000,23.6120452880859375,
43140000,23.79746246337890625,
43260000,22.722991943359375,
43380000,24.54480743408203125,
43500000,25.151519775390625,
43620000,25.0155487060546875,
43740000,22.8084259033203125,
43860000,22.976104736328125,
43980000,24.02350616455078125,
44100000,24.9308624267578125,
44220000,23.20391845703125,
44340000,25.20899200439453125,
44460000,23.571746826171875,
44580000,24.93108367919921875,
44700000,24.28040313720703125,
44820000,26.2625732421875,
44940000,26.75872802734375,
45060000,27.91803741455078125,
45180000,25.9485626220703125,
45300000,25.98928070068359375,
45420000,28.400421142578125,
45540000,27.80672454833984375,
45660000,27.0343170166015625,
45780000,28.263092041015625,
45900000,28.9196319580078125,
46020000,27.7738189697265625,
46140000,26.71010589599609375,
46260000,29.2560577392578125,
46380000,28.97314453125,
46500000,29.5343780517578125,
46620000,26.60816192626953125,
46740000,26.8271636962890625,
46860000,28.52109527587890625,
46980000,27.8135528564453125,
47100000,26.92607879638671875,
47220000,27.22600555419921875,
47340000,26.19775390625,
47460000,27.5992431640625,
47580000,25.99431610107421875,
47700000,27.02777862548828125,
47820000,27.120086669921875,
47940000,28.39412689208984375,
48060000,26.0582275390625,
48180000,25.5946807861328125,
48300000,25.57259368896484375,
48420000,26.09682464599609375,
48540000,25.747528076171875,
48660000,24.99970245361328125,
48780000,24.09954833984375,
48900000,24.88672637939453125,
49020000,23.83423614501953125,
49140000,24.49228668212890625,
49260000,23.17720794677734375,
49380000,23.3010406494140625,
49500000,24.09947967529296875,
49620000,23.45459747314453125,
49740000,23.314208984375,
49860000,23.39777374267578125,
49980000,22.3445281982421875,
50100000,22.13655853271484375,
50220000,22.59728240966796875,
