sep=,
Type,FSVA3013,
Version,1.40,
Date,11.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,29.76169372558594,
163500,26.80660285949707244,
172500,26.5177432250976572,
181500,26.50973815917969,
190500,26.1224632263183629,
199500,29.0249914550781263,
208500,28.55035972595214844,
217500,27.95341979980468849,
226500,29.923341979980471,
235500,29.0112457275390625,
244500,30.95860656738281236,
253500,29.38946571350097869,
262500,26.7052734375000,
271500,26.30969398498535128,
280500,28.97936248779296875,
289500,27.4825456237792949,
298500,26.88398307800292741,
307500,27.08599586486816335,
316500,28.28699707031250,
325500,26.119781494140625,
334500,25.66584960938,
343500,25.6906282043457033,
352500,22.373583068847655,
361500,30.0533335876464847,
370500,25.3677076721191419,
379500,26.684798278808593,
388500,25.19343017578124844,
397500,28.756376953124999,
406500,25.83405029296874744,
415500,26.82398262023925994,
424500,28.26487373352050980,
433500,30.445514221191406,
442500,29.79161109924316619,
451500,27.3644909667969,
460500,28.9314765930175781,
469500,27.3976062011719,
478500,28.71322998046874986,
487500,26.836904296874998,
496500,32.80489768981933452,
505500,26.1913993835449226,
514500,33.29872009277344,
523500,26.79640541076659943,
532500,38.99327453613281,
541500,33.1031306457519534,
550500,43.121275634765623863,
559500,39.79346702575683281,
568500,46.56093986511230298,
577500,44.1609535217285156,
586500,44.812674064636233595,
595500,45.91794960021972827,
604500,36.60565948486328125,
613500,43.30909851074219,
622500,33.23769515991210710,
631500,41.6132995605469,
640500,33.872848815917969,
649500,35.51762840270995980,
658500,30.68490257263183807,
667500,35.7708224487304705,
676500,38.73898086547851705,
685500,36.360076904296875,
694500,35.96212348937988423,
703500,34.2164036560058591,
712500,40.1548512268066418,
721500,39.17760467529296875,
730500,39.06999084472656136,
739500,34.10998802185059020,
748500,36.722439270019528,
757500,46.690268898010252485,
766500,39.1910247802734375,
775500,39.3179064941406295,
784500,38.14716491699219,
793500,45.822865600585935,
802500,42.616148948669433594,
811500,43.562343788146975498,
820500,39.6781555175781,
829500,44.099747619628907,
838500,49.906915168762203905,
847500,51.174690818786622515,
856500,49.88369934082031421,
865500,42.2022999572753932,
874500,51.896147499084470667,
883500,51.4565437316894574,
892500,54.783082351684569744,
901500,47.509510040283203125,
910500,42.361944465637208168,
919500,47.152624702453614702,
928500,51.01294143676757642,
937500,44.79717483520507670,
946500,41.3455065917968767,
955500,39.62609313964843949,
964500,36.712315368652341,
973500,40.114306640624996,
982500,34.18575813293456633,
991500,34.87496200561523807,
1000500,37.67984580993652344,
1009500,35.21038818359375,
1018500,31.00383186340332387,
1027500,29.46307571411132997,
1036500,33.130111999511719,
1045500,26.56909629821777230,
1054500,30.50222282409668040,
1063500,21.229572448730469,
1072500,26.24915229797363381,
1081500,25.32300659179688,
1090500,26.270860290527345,
1099500,21.18881988525390625,
1108500,24.1642102050781276,
1117500,21.79386482238769673,
1126500,22.7370533752441411,
1135500,21.8675085449219,
1144500,23.282872009277344,
1153500,25.70536262512207060,
1162500,22.6606286621094,
1171500,24.77838630676269815,
1180500,24.6717497253417974,
1189500,24.92612800598144673,
1198500,24.2405131530761722,
1207500,25.2994551086425794,
1216500,18.82626838684081960,
1225500,22.9290710449219,
1234500,25.40502204895019744,
1243500,25.09058723449706818,
1252500,22.84112228393554744,
1261500,21.075556640624999,
1270500,22.75524169921875028,
1279500,27.987863769531252,
1288500,24.01089683532714858,
1297500,24.45174987792969,
1306500,27.26203651428222940,
1315500,23.64793212890624829,
1324500,25.92284889221191335,
1333500,24.44120239257812,
1342500,24.18360397338867074,
1351500,21.754367065429687,
1360500,24.5939208984374993,
1369500,24.04232582092285142,
1378500,26.2260795593261733,
1387500,23.83306045532226491,
1396500,27.57997329711913892,
1405500,26.55198554992675852,
1414500,27.56993659973144517,
1423500,26.94237518310546875,
1432500,27.6107019042968744,
1441500,28.93881782531738267,
1450500,24.88481254577636648,
1459500,28.84599357604980341,
1468500,26.10443183898926023,
1477500,31.823701171874998,
1486500,29.8438179016113310,
1495500,31.79110145568848012,
1504500,32.213255310058592,
1513500,31.70073432922363565,
1522500,32.7004920959472685,
1531500,31.96575233459472543,
1540500,30.6027919006347666,
1549500,33.50377868652344,
1558500,36.407622070312,
1567500,32.584486999511718,
1576500,35.558025512695316,
1585500,34.2541271972656247,
1594500,37.51245140075683793,
1603500,33.600029296875000,
1612500,35.533561706542969,
1621500,33.38452560424804716,
1630500,35.00513572692871378,
1639500,38.6505773925781284,
1648500,39.68804405212402742,
1657500,33.71629524230957031,
1666500,37.29196792602539290,
1675500,37.53436775207519815,
1684500,35.6325840759277384,
1693500,33.82430313110351250,
1702500,33.59545875549316207,
1711500,33.63963874816894872,
1720500,33.2432730102539082,
1729500,32.80608169555664233,
