sep=,
Type,FSVA3013,
Version,1.40,
Date,11.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,88.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,8083,
30060000,41.355162239074708452,
30180000,44.15036628723144219,
30300000,44.2486497497558631,
30420000,41.17183685302734375,
30540000,42.52503982543945682,
30660000,41.1937658691406270,
30780000,41.94687416076660469,
30900000,38.0329780578613281,
31020000,37.4529142761230460,
31140000,38.129069519042964,
31260000,37.58754699707031,
31380000,39.275964355468751,
31500000,37.7431127929688,
31620000,35.57172393798828125,
31740000,35.04050254821777344,
31860000,32.806687927246095,
31980000,32.84089599609374943,
32100000,31.6925804138183622,
32220000,32.47952552795410242,
32340000,33.29473587036132898,
32460000,34.167649841308595,
32580000,33.51227569580078125,
32700000,33.50365539550781,
32820000,33.42494178771972457,
32940000,35.448841857910161,
33060000,32.72793113708495838,
33180000,34.0721588134765625,
33300000,33.3778161621094,
33420000,34.4973568725585977,
33540000,33.83219146728515625,
33660000,31.41574592590332315,
33780000,32.07076560974120838,
33900000,30.60122413635254190,
34020000,33.2058540344238295,
34140000,31.24176155090331974,
34260000,31.73674987792968949,
34380000,30.12826171875000,
34500000,30.233728942871092,
34620000,33.1514591979980437,
34740000,32.452757263183599,
34860000,34.0955873107910179,
34980000,36.0648345947265625,
35100000,37.90598937988281136,
35220000,36.5943310546875011,
35340000,40.540773010253908,
35460000,38.6461390686035173,
35580000,36.8897483825683636,
35700000,40.34490188598633154,
35820000,38.89849266052246435,
35940000,39.716555175781252,
36060000,33.89858055114746094,
36180000,34.2434912109374991,
36300000,35.37408813476562,
36420000,36.10715324401855497,
36540000,36.206918334960939,
36660000,34.29178550720214957,
36780000,36.277575683594,
36900000,36.52493408203125114,
37020000,36.32269248962402486,
37140000,33.40602607727051065,
37260000,33.2974853515625,
37380000,33.3427743530273446,
37500000,35.34749794006347656,
37620000,32.64699020385742045,
37740000,32.60536384582519531,
37860000,34.12992668151855469,
37980000,32.89093017578125,
38100000,31.942682495117186,
38220000,32.70852035522460710,
38340000,31.84143241882324205,
38460000,30.49358161926269517,
38580000,30.72516677856445355,
38700000,31.6172563171386720,
38820000,32.99808769226074645,
38940000,30.14179641723632841,
39060000,30.25445167541504077,
39180000,30.133697509765625,
39300000,31.09877586364746094,
39420000,28.70737037658691548,
39540000,29.57782104492188,
39660000,28.008128356933593,
39780000,26.569065856933594,
39900000,32.5678820800781,
40020000,31.3543293762207007,
40140000,26.27101547241210966,
40260000,27.357963867188,
40380000,25.620026550292970,
40500000,26.5867057800292983,
40620000,25.94959434509277330,
40740000,25.32586250305175923,
40860000,25.58614036560058480,
40980000,25.05533409118652344,
41100000,25.98059509277344,
41220000,28.01853446960449290,
41340000,28.02723426818847940,
41460000,28.6580969238281256,
41580000,27.7794226074218749,
41700000,26.6660157775878908,
41820000,27.12271789550781520,
41940000,29.41291046142578125,
42060000,25.8332820129394527,
42180000,25.0800183105468761,
42300000,26.817546386718750,
42420000,24.79320030212402415,
42540000,26.457213439941405,
42660000,24.83294502258300795,
42780000,23.64009452819824375,
42900000,25.2323124694824230,
43020000,23.1217350769042973,
43140000,24.07019348144531179,
43260000,23.5750579833984375,
43380000,22.63773010253906,
43500000,24.07660461425781406,
43620000,23.145681152343752,
43740000,22.8170983886719,
43860000,22.54376197814941563,
43980000,23.03450775146484375,
44100000,24.94495605468750,
44220000,24.25727478027343764,
44340000,24.3469775390625003,
44460000,26.1366142272949240,
44580000,25.82662437438964886,
44700000,26.4465855407714834,
44820000,25.25921531677246179,
44940000,27.097115173339844,
45060000,24.83004951477050781,
45180000,27.87549873352050867,
45300000,27.852753906250,
45420000,25.962373657226561,
45540000,28.91099281311035440,
45660000,27.0444960021972669,
45780000,29.2642382813,
45900000,28.3220576477050798,
46020000,27.62018165588379048,
46140000,30.337435913085937,
46260000,28.99337341308594,
46380000,30.81660156250,
46500000,32.836628723144536,
46620000,32.44989479064941662,
46740000,31.5928330993652331,
46860000,32.17794563293457344,
46980000,33.43171691894531250,
47100000,30.413173828125000,
47220000,30.1174893188476567,
47340000,29.84232330322265625,
47460000,30.7037338256835959,
47580000,28.39162178039551065,
47700000,30.08464370727539006,
47820000,29.0220429992675761,
47940000,30.36495666503906,
48060000,28.6470222473144531,
48180000,29.79942855834961080,
48300000,31.10906188964843722,
48420000,29.6072607421874991,
48540000,30.1053080749511714,
48660000,28.86743408203124872,
48780000,28.3898522949219,
48900000,28.427181701660157,
49020000,28.2335627746582034,
49140000,29.4132009887695318,
49260000,25.677136230469,
49380000,27.91384124755859375,
49500000,26.294012756347659,
49620000,26.02441101074219,
49740000,24.2542724609375,
49860000,25.66555191040038864,
49980000,36.0703503417968747,
50100000,23.9560693359374994,
50220000,22.4855239868164070,
50340000,23.2211087036132824,
