sep=,
Type,FSVA3013,
Version,1.40,
Date,11.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,83.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,705,
9100,7.2076318359374998,
9300,10.66826820373535156,
9500,15.72246330261230440,
9700,16.77239250183105312,
9900,16.19865898132324133,
10100,19.14839935302734375,
10300,20.135528564453125,
10500,17.2326330566406263,
10700,8.75069091796875043,
10900,8.73483009338379013,
11100,8.99172210693359375,
11300,9.7548400878906261,
11500,12.18645195007324133,
11700,14.1832176208496108,
11900,17.119216308593749,
12100,18.68965911865234375,
12300,22.3143762207031244,
12500,26.074807128906251,
12700,27.13866920471191690,
12900,30.07642387390136562,
13100,34.0357397460937,
13300,34.65031578063965156,
13500,29.0296478271484375,
13700,28.0135559082031271,
13900,25.4001838684082024,
14100,21.283986206054688,
14300,15.60671127319336016,
14500,17.91639465332031378,
14700,16.884114074707032,
14900,15.778871154785158,
15100,14.8743058776855470,
15300,14.8207997131347646,
15500,14.864166259765625,
15700,13.6289099121093749,
15900,12.94201904296874872,
16100,15.75917243957519531,
16300,13.23100341796874879,
16500,15.576769714355470,
16700,12.900332641601562,
16900,14.174420471191405,
17100,16.186872558593752,
17300,16.29304374694824276,
17500,16.35711921691894588,
17700,15.72252059936523416,
17900,18.37497619628906,
18100,19.2099151611328125,
18300,20.7583525085449203,
18500,33.31212959289550923,
18700,25.19324302673339844,
18900,24.27461013793945455,
19100,34.25226058959960795,
19300,30.13681335449219,
19500,20.0279457092285149,
19700,19.7791401672363278,
19900,18.4519844055175781,
20100,19.6507720947265625,
20300,21.0883927917480456,
20500,21.9447532653808608,
20700,21.62616943359374844,
20900,24.3636218261718760,
21100,25.3656568908691398,
21300,22.51488838195800923,
21500,23.690722961425781,
21700,27.43127235412597642,
21900,44.4054014587402364,
22100,47.92594871520996236,
22300,36.67140151977539375,
22500,27.0865478515625,
22700,21.66450508117675611,
22900,20.35014442443847571,
23100,21.326455078125001,
23300,22.450030212402343,
23500,22.40103912353515625,
23700,21.07386550903320099,
23900,17.65722297668456875,
24100,19.63180046081543040,
24300,17.038682556152345,
24500,20.0267761230469,
24700,18.91121589660644631,
24900,19.42145462036132741,
25100,18.5712158203124993,
25300,17.492900390625000,
25500,16.55571022033691264,
25700,17.01242408752441548,
25900,19.20751953125,
26100,19.3401708984374991,
26300,24.4366491699219,
26500,24.86449432373046875,
26700,28.14731666564941293,
26900,24.14732368469238466,
27100,17.47865638732910298,
27300,15.4121551513671875,
27500,13.633505859374999,
27700,15.11426582336425817,
27900,11.02762977600097649,
28100,13.82413551330566293,
28300,11.83983612060546875,
28500,13.30613525390625007,
28700,13.3669189453125004,
28900,12.5957183837890625,
29100,9.7079333496094,
29300,11.78386413574219,
29500,14.603317871094,
29700,12.34439735412597727,
29900,13.69979095458984375,
30100,11.90926094055175888,
30300,11.55524765014648381,
30500,10.540611267089844,
30700,11.99277648925781,
30900,12.26866104125976520,
31100,10.57633178710937,
31300,13.80732154846191406,
31500,14.20079406738281236,
31700,13.38093940734863274,
31900,13.21059814453125014,
32100,10.4446081542968745,
32300,10.6606504821777346,
32500,9.199205017089843,
32700,7.838833618164062,
32900,12.4945735168457031,
33100,10.17885589599609375,
33300,8.1744462585449220,
33500,7.52355613708496129,
33700,9.81449653625488239,
33900,11.42420700073242124,
34100,12.76667022705078125,
34300,10.486114501953125,
34500,8.62955825805664034,
34700,8.94938964844,
34900,11.04003234863281,
35100,7.25951072692871069,
35300,9.8170458984374989,
35500,9.12681175231933572,
35700,13.36424606323242159,
35900,13.89297752380371165,
36100,11.41590919494628942,
36300,8.18078788757324205,
36500,9.3711360168457034,
36700,7.11174774169921875,
36900,13.01603248596191520,
37100,22.0203094482421875,
37300,21.62588012695312,
37500,11.8976976013183595,
37700,8.756220703124999,
37900,12.2063621520996097,
38100,16.69163703918457031,
38300,34.68155639648437,
38500,35.32093048095703125,
38700,17.31829833984375000,
38900,13.7462734985351567,
39100,12.09670303344726605,
39300,11.32720252990722543,
39500,12.765797424316407,
39700,12.15800903320313,
39900,32.3013587951660170,
40100,31.4834570312,
40300,10.48780105590820355,
40500,11.22077270507812,
40700,10.845562133789063,
40900,13.19664604187011747,
41100,14.6228233337402358,
41300,10.31603759765624950,
41500,11.06395690917968722,
41700,11.78748481750488253,
41900,14.4370559692382816,
42100,16.1879891967773446,
42300,14.3367687988281247,
42500,12.39707344055175753,
42700,14.4211898803710934,
42900,16.59425102233886662,
43100,18.32351234436035270,
43300,23.4220428466796875,
43500,22.77287101745605469,
43700,30.5924267578125004,
43900,31.10514335632324290,
44100,43.700286178588868324,
44300,45.7947976684570293,
44500,38.35484420776366932,
44700,32.61421829223633040,
44900,28.313778381347657,
45100,19.510906372070313,
45300,16.63009529113769602,
45500,17.064184265136721,
