sep=,
Type,FSVA3013,
Version,1.40,
Date,11.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,29.7956921386718747,
163500,28.9224403381347663,
172500,29.81939277648925923,
181500,26.9289848327636747,
190500,29.464856872558592,
199500,22.4490893554688,
208500,29.61658447265624972,
217500,20.23685737609863367,
226500,33.1657453918457037,
235500,32.93081611633300554,
244500,29.3495614624023418,
253500,23.49172325134277273,
262500,28.6150970458984375,
271500,22.727569580078125,
280500,25.31227279663085739,
289500,24.29724830627441534,
298500,23.271831665039063,
307500,23.22746864318847670,
316500,22.22848449707031193,
325500,23.42424201965332031,
334500,14.7285205078124992,
343500,24.10393127441406236,
352500,16.71217079162597585,
361500,25.27529144287109375,
370500,13.95782020568847592,
379500,24.56202758789063,
388500,15.9554313659667972,
397500,25.1011106872558614,
406500,17.38523597717285085,
415500,23.2940650939941420,
424500,21.477895202636720,
433500,18.7990730285644538,
442500,19.41223976135253793,
451500,17.63838958740234375,
460500,21.4104869079589832,
469500,26.358386230469,
478500,22.41646156311035298,
487500,13.791810607910156,
496500,19.98573951721191477,
505500,9.8673103332519538,
514500,21.1637704467773453,
523500,13.0874707031250,
532500,21.51428947448730611,
541500,13.2300109863281,
550500,21.452934265136719,
559500,17.13825134277343665,
568500,19.693800659179686,
577500,18.59555816650390625,
586500,18.35059196472167997,
595500,18.00200454711913878,
604500,14.933585510253907,
613500,18.28726501464844,
622500,13.20883369445800781,
631500,19.9491760253906243,
640500,12.3075508117675785,
649500,18.2443212890624977,
658500,9.57272750854492216,
667500,16.82025146484375000,
676500,11.8282838439941411,
685500,18.7818301391601565,
694500,14.2440234375000,
703500,19.8092431640625009,
712500,24.45450096130371165,
721500,15.3874658203124994,
730500,15.8201957702636715,
739500,13.676460571289063,
748500,16.58506011962890625,
757500,13.02903053283691470,
766500,17.9481358337402348,
775500,9.08339691162109375,
784500,17.83399246215820355,
793500,11.2371757507324226,
802500,18.36990783691406,
811500,20.05408477783203125,
820500,19.52580070495605469,
829500,17.60592247009277500,
838500,16.25669883728027187,
847500,12.4640350341796875,
856500,14.22894287109375000,
865500,15.84327049255371023,
874500,14.494716796875000,
883500,15.8362875366210947,
892500,10.3020996094,
901500,14.60267211914062,
910500,9.8128463745117180,
919500,16.66509704589844,
928500,12.28679924011230540,
937500,18.0950164794921875,
946500,19.2173004150390625,
955500,19.647980346679688,
964500,9.938276367188,
973500,14.9186672973632817,
982500,11.03048049926757734,
991500,13.764312744140625,
1000500,12.43260459899902415,
1009500,12.29160575866699290,
1018500,13.63499572753906364,
1027500,9.91149467468261669,
1036500,14.03822036743163970,
1045500,9.15983848571777415,
1054500,14.72855216979980497,
1063500,7.17478103637695330,
1072500,15.22131614685058665,
1081500,5.720918884277344,
1090500,13.28039024353027386,
1099500,7.13685241699218764,
1108500,14.29737739562988352,
1117500,10.37172912597656271,
1126500,14.0531872558593758,
1135500,11.6293487548828125,
1144500,11.32557861328124993,
1153500,11.86610786437988274,
1162500,9.180189514160157,
1171500,14.53649620056152436,
1180500,9.33421875000,
1189500,20.19546379089355526,
1198500,8.9772949219,
1207500,13.3371595764160151,
1216500,3.64672088623046875,
1225500,14.80261535644531357,
1234500,6.36231986999511712,
1243500,13.78615928649902322,
1252500,7.33498382568359375,
1261500,12.4027412414550771,
1270500,9.95103897094726619,
1279500,9.934833984375000,
1288500,10.96869216918945256,
1297500,10.07256317138671875,
1306500,12.39677490234374879,
1315500,6.41452217102050870,
1324500,13.630117492675781,
1333500,3.9364013671875,
1342500,13.8860050964355466,
1351500,3.66399169921874979,
1360500,14.35109863281250,
1369500,5.9951220703125001,
1378500,13.6177803039550795,
1387500,5.57259368896484375,
1396500,12.5056921386718756,
1405500,11.73128288269042940,
1414500,12.63596343994140625,
1423500,15.14687919616699219,
1432500,14.47698974609375,
1441500,11.39253044128417969,
1450500,6.51922569274902397,
1459500,13.52946083068847649,
1468500,4.57354736328125,
1477500,13.97564964294433665,
1486500,5.76092597961425756,
1495500,13.0355468750,
1504500,3.6426818847656253,
1513500,12.2342463684082023,
1522500,5.98768821716308608,
1531500,13.381621093750,
1540500,8.86341094970703125,
1549500,11.7985261535644526,
1558500,10.02982604980469,
1567500,8.51311531066894567,
1576500,10.52663421630859375,
1585500,7.61919975280761808,
1594500,12.68579627990722614,
1603500,8.2746267700195304,
1612500,15.5429969787597653,
1621500,12.12528694152831932,
1630500,13.7335762023925785,
1639500,8.19418151855468757,
1648500,13.4581544494628904,
1657500,9.0038845825195306,
1666500,13.231465454101562,
1675500,10.5758642578124995,
1684500,10.266044311523437,
1693500,9.6642211914063,
1702500,11.49667969,
1711500,10.62119384765624908,
1720500,6.59501449584960930,
1729500,11.0182385253906,
