sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,9.08667755126953125,
163500,14.88019561767578125,
172500,17.85604095458984375,
181500,12.6850433349609375,
190500,8.06439971923828125,
199500,7.04784393310546875,
208500,9.390380859375,
217500,7.547515869140625,
226500,17.2994384765625,
235500,16.2328948974609375,
244500,7.227447509765625,
253500,7.89858245849609375,
262500,8.65264129638671875,
271500,7.065185546875,
280500,13.8663330078125,
289500,14.18523406982421875,
298500,15.5832061767578125,
307500,11.49576568603515625,
316500,10.68970489501953125,
325500,9.65187835693359375,
334500,11.82399749755859375,
343500,13.64450836181640625,
352500,12.30104827880859375,
361500,7.78662109375,
370500,4.52724456787109375,
379500,8.00312042236328125,
388500,6.055389404296875,
397500,11.60247802734375,
406500,11.17409515380859375,
415500,4.9278411865234375,
424500,6.594635009765625,
433500,3.1187591552734375,
442500,7.938385009765625,
451500,8.017578125,
460500,12.653717041015625,
469500,9.99837493896484375,
478500,8.1544952392578125,
487500,6.27301788330078125,
496500,4.41939544677734375,
505500,4.30925750732421875,
514500,9.454742431640625,
523500,9.894256591796875,
532500,7.38442230224609375,
541500,7.10225677490234375,
550500,4.99260711669921875,
559500,3.2683563232421875,
568500,4.8731231689453125,
577500,10.04669189453125,
586500,6.50914764404296875,
595500,6.6294708251953125,
604500,10.91307830810546875,
613500,12.5278472900390625,
622500,6.23155975341796875,
631500,9.9753875732421875,
640500,9.92426300048828125,
649500,7.93364715576171875,
658500,7.11640167236328125,
667500,7.528167724609375,
676500,6.60674285888671875,
685500,5.63979339599609375,
694500,8.79485321044921875,
703500,5.00522613525390625,
712500,6.96530914306640625,
721500,6.7479705810546875,
730500,6.485626220703125,
739500,4.29022216796875,
748500,5.94672393798828125,
757500,7.73805999755859375,
766500,4.2130584716796875,
775500,3.64669036865234375,
784500,4.28530120849609375,
793500,6.5128326416015625,
802500,6.854827880859375,
811500,6.98415374755859375,
820500,4.5662689208984375,
829500,5.9392242431640625,
838500,6.991424560546875,
847500,7.2513275146484375,
856500,4.4009552001953125,
865500,4.0111083984375,
874500,5.9587860107421875,
883500,5.584686279296875,
892500,10.8189697265625,
901500,5.9426422119140625,
910500,3.36310577392578125,
919500,3.3337249755859375,
928500,9.47171783447265625,
937500,5.92140960693359375,
946500,6.45165252685546875,
955500,3.78020477294921875,
964500,4.56598663330078125,
973500,5.91561126708984375,
982500,3.0891265869140625,
991500,1.595123291015625,
1000500,2.99021148681640625,
1009500,1.91466522216796875,
1018500,-0.28699493408203125,
1027500,-0.76435089111328125,
1036500,1.7742767333984375,
1045500,1.00872039794921875,
1054500,2.38256072998046875,
1063500,0.917816162109375,
1072500,4.957733154296875,
1081500,2.78853607177734375,
1090500,-2.08745574951171875,
1099500,-3.103729248046875,
1108500,-1.81861114501953125,
1117500,-0.24971771240234375,
1126500,-1.64412689208984375,
1135500,-3.77655029296875,
1144500,-1.0438690185546875,
1153500,0.0515594482421875,
1162500,-2.54936981201171875,
1171500,-4.357452392578125,
1180500,-1.7398834228515625,
1189500,0.199676513671875,
1198500,-1.3961639404296875,
1207500,2.2960968017578125,
1216500,1.22585296630859375,
1225500,3.00099945068359375,
1234500,-1.04262542724609375,
1243500,-3.61592864990234375,
1252500,-4.95859527587890625,
1261500,-4.0561370849609375,
1270500,-3.63636016845703125,
1279500,-1.504852294921875,
1288500,-2.2584075927734375,
1297500,-2.89556884765625,
1306500,-1.31679534912109375,
1315500,0.92523956298828125,
1324500,-2.7630462646484375,
1333500,-0.6484375,
1342500,2.41141510009765625,
1351500,0.37546539306640625,
1360500,-4.53055572509765625,
1369500,-2.23812103271484375,
1378500,-3.50283050537109375,
1387500,-3.69310760498046875,
1396500,-1.058074951171875,
1405500,-3.13703155517578125,
1414500,-3.77980804443359375,
1423500,-1.2154541015625,
1432500,-3.06243896484375,
1441500,-0.328277587890625,
1450500,-0.91329193115234375,
1459500,-3.39139556884765625,
1468500,-2.84944915771484375,
1477500,1.1380615234375,
1486500,-0.6324920654296875,
1495500,-3.0179901123046875,
1504500,-2.36675262451171875,
1513500,-2.877532958984375,
1522500,-1.94217681884765625,
1531500,-0.6648712158203125,
1540500,-2.29386138916015625,
1549500,-2.8619384765625,
1558500,-0.95362091064453125,
1567500,-0.95102691650390625,
1576500,-1.2283477783203125,
1585500,-0.02426910400390625,
1594500,0.1189727783203125,
1603500,-1.5435028076171875,
1612500,0.6285400390625,
1621500,0.42431640625,
1630500,-0.8342437744140625,
1639500,0.71804046630859375,
1648500,-0.138580322265625,
1657500,-0.1163177490234375,
1666500,-0.52352142333984375,
1675500,-1.531463623046875,
1684500,-1.2796783447265625,
1693500,-1.5247650146484375,
