sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,87.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,705,
9100,-5.62255859375,
9300,-4.1166229248046875,
9500,-4.70429229736328125,
9700,-6.66532135009765625,
9900,-8.0942840576171875,
10100,-5.6956024169921875,
10300,-4.95420074462890625,
10500,-6.747161865234375,
10700,-6.19773101806640625,
10900,-4.05239105224609375,
11100,-6.5175628662109375,
11300,-6.9800872802734375,
11500,-6.6530609130859375,
11700,-6.46120452880859375,
11900,-5.24506378173828125,
12100,-4.123687744140625,
12300,-6.36049652099609375,
12500,-5.87085723876953125,
12700,-5.2081756591796875,
12900,-5.0594024658203125,
13100,-5.34893798828125,
13300,-5.6406097412109375,
13500,-7.64994049072265625,
13700,-6.4048004150390625,
13900,-7.46501922607421875,
14100,-9.99629974365234375,
14300,-5.999847412109375,
14500,-4.30994415283203125,
14700,-6.5351409912109375,
14900,-9.66310882568359375,
15100,-7.59903717041015625,
15300,-6.55991363525390625,
15500,-5.64173126220703125,
15700,-4.1657562255859375,
15900,-6.58103179931640625,
16100,-4.7299652099609375,
16300,-3.9240264892578125,
16500,-3.764404296875,
16700,-3.1261444091796875,
16900,-4.51477813720703125,
17100,-4.8755340576171875,
17300,-6.3548126220703125,
17500,-5.19675445556640625,
17700,-6.41313934326171875,
17900,-4.8867340087890625,
18100,-3.05291748046875,
18300,1.14923095703125,
18500,8.07971954345703125,
18700,0.322174072265625,
18900,-2.2465667724609375,
19100,-2.6781768798828125,
19300,-2.5411224365234375,
19500,-3.71009063720703125,
19700,-2.3713226318359375,
19900,-4.21399688720703125,
20100,-5.984344482421875,
20300,-4.76207733154296875,
20500,-3.15496063232421875,
20700,-3.450927734375,
20900,-2.43964385986328125,
21100,-3.95345306396484375,
21300,-3.42490386962890625,
21500,-2.4634246826171875,
21700,2.6447296142578125,
21900,19.40473175048828125,
22100,18.6272125244140625,
22300,-0.6339874267578125,
22500,-1.32704925537109375,
22700,-2.16510009765625,
22900,-1.68798828125,
23100,-3.2173004150390625,
23300,-3.3092803955078125,
23500,-1.42441558837890625,
23700,-2.10468292236328125,
23900,-1.344635009765625,
24100,-2.54032135009765625,
24300,-3.6495361328125,
24500,-1.214874267578125,
24700,-2.993011474609375,
24900,-4.69232177734375,
25100,-1.8325653076171875,
25300,-2.378509521484375,
25500,1.02387237548828125,
25700,-0.5838775634765625,
25900,-1.965911865234375,
26100,-1.27991485595703125,
26300,-1.2891082763671875,
26500,-1.37314605712890625,
26700,-2.08101654052734375,
26900,-0.758087158203125,
27100,-0.715789794921875,
27300,-1.47692108154296875,
27500,-3.08777618408203125,
27700,-4.193756103515625,
27900,-4.00177764892578125,
28100,-2.43109130859375,
28300,-1.95093536376953125,
28500,-2.1361236572265625,
28700,-1.23983001708984375,
28900,-3.5814666748046875,
29100,-4.15164947509765625,
29300,-1.5101165771484375,
29500,-0.21007537841796875,
29700,-2.55165863037109375,
29900,-2.713623046875,
30100,-2.76480865478515625,
30300,-2.4357452392578125,
30500,-3.2412872314453125,
30700,-3.4033203125,
30900,-2.38477325439453125,
31100,-2.39026641845703125,
31300,-4.14496612548828125,
31500,-1.9442901611328125,
31700,-1.68572235107421875,
31900,-1.19637298583984375,
32100,0.3966217041015625,
32300,-1.1879425048828125,
32500,-4.90056610107421875,
32700,-4.43424224853515625,
32900,-4.84798431396484375,
33100,-2.6448211669921875,
33300,-1.25353240966796875,
33500,-2.9677581787109375,
33700,-3.2393341064453125,
33900,-3.03818511962890625,
34100,-4.6840362548828125,
34300,-3.705841064453125,
34500,-2.5173492431640625,
34700,-2.29344940185546875,
34900,-2.74036407470703125,
35100,-3.50559234619140625,
35300,14.1599273681640625,
35500,16.4279327392578125,
35700,-2.0968170166015625,
35900,-2.235015869140625,
36100,-3.69911956787109375,
36300,-2.77158355712890625,
36500,-3.9972076416015625,
36700,-2.844818115234375,
36900,-2.3360748291015625,
37100,6.12042999267578125,
37300,3.27823638916015625,
37500,-1.7995758056640625,
37700,-1.15290069580078125,
37900,-1.52225494384765625,
38100,-1.344635009765625,
38300,-1.71584320068359375,
38500,-0.6187896728515625,
38700,1.32854461669921875,
38900,0.44573974609375,
39100,-2.43448638916015625,
39300,-1.28607940673828125,
39500,-1.18122100830078125,
39700,-2.7557373046875,
39900,-2.14928436279296875,
40100,-2.7586212158203125,
40300,-2.05655670166015625,
40500,-1.36214447021484375,
40700,-1.80218505859375,
40900,-1.76657867431640625,
41100,-1.466461181640625,
41300,-1.250091552734375,
41500,-2.9931793212890625,
41700,-1.299468994140625,
41900,-3.07373809814453125,
42100,-3.80812835693359375,
42300,-5.6290435791015625,
42500,-3.1616058349609375,
42700,-2.52138519287109375,
42900,-2.45275115966796875,
