sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,41.72328948974609375,
163500,35.93502044677734375,
172500,35.57964324951171875,
181500,34.32256317138671875,
190500,38.25255584716796875,
199500,41.06992340087890625,
208500,38.588653564453125,
217500,33.80973052978515625,
226500,33.70087432861328125,
235500,40.06914520263671875,
244500,36.96746826171875,
253500,38.8706512451171875,
262500,37.6746673583984375,
271500,40.959686279296875,
280500,41.7673492431640625,
289500,45.76499176025390625,
298500,40.78855133056640625,
307500,40.2357635498046875,
316500,46.0366668701171875,
325500,39.5545654296875,
334500,37.98766326904296875,
343500,26.43300628662109375,
352500,38.07940673828125,
361500,36.5030517578125,
370500,38.80092620849609375,
379500,30.58454132080078125,
388500,28.9632415771484375,
397500,34.25226593017578125,
406500,36.87143707275390625,
415500,34.5854644775390625,
424500,29.5437774658203125,
433500,30.9169921875,
442500,31.56304168701171875,
451500,36.4331512451171875,
460500,30.423309326171875,
469500,26.09705352783203125,
478500,30.37896728515625,
487500,37.5536041259765625,
496500,32.72972869873046875,
505500,30.92501068115234375,
514500,29.21082305908203125,
523500,31.05402374267578125,
532500,35.33071136474609375,
541500,29.83416748046875,
550500,30.0194549560546875,
559500,32.4568634033203125,
568500,35.591552734375,
577500,30.53414154052734375,
586500,28.31478118896484375,
595500,35.643768310546875,
604500,33.1369781494140625,
613500,34.5214080810546875,
622500,29.67242431640625,
631500,34.32772064208984375,
640500,35.87700653076171875,
649500,33.73213958740234375,
658500,29.529266357421875,
667500,29.6064910888671875,
676500,37.7923736572265625,
685500,32.9583892822265625,
694500,32.03107452392578125,
703500,32.5379486083984375,
712500,37.96331024169921875,
721500,37.205169677734375,
730500,35.07207489013671875,
739500,29.91602325439453125,
748500,33.20415496826171875,
757500,41.0427703857421875,
766500,36.11035919189453125,
775500,34.15686798095703125,
784500,32.05644989013671875,
793500,40.806396484375,
802500,38.15503692626953125,
811500,39.1670379638671875,
820500,32.68251800537109375,
829500,34.3221588134765625,
838500,41.27620697021484375,
847500,42.007659912109375,
856500,38.455078125,
865500,35.293701171875,
874500,41.05672454833984375,
883500,41.15239715576171875,
892500,44.51502227783203125,
901500,38.23543548583984375,
910500,35.72821044921875,
919500,37.68492889404296875,
928500,45.1054840087890625,
937500,40.1345977783203125,
946500,36.32328033447265625,
955500,34.688232421875,
964500,35.49139404296875,
973500,38.91048431396484375,
982500,31.42352294921875,
991500,32.018951416015625,
1000500,33.72661590576171875,
1009500,34.1412353515625,
1018500,27.68463897705078125,
1027500,25.7251434326171875,
1036500,32.8661956787109375,
1045500,26.9793243408203125,
1054500,26.23966217041015625,
1063500,22.83397674560546875,
1072500,27.95886993408203125,
1081500,28.728607177734375,
1090500,22.3246307373046875,
1099500,18.8965301513671875,
1108500,20.74900054931640625,
1117500,28.62918853759765625,
1126500,18.52771759033203125,
1135500,16.12810516357421875,
1144500,19.4833984375,
1153500,24.32923126220703125,
1162500,22.98155975341796875,
1171500,15.14949798583984375,
1180500,18.45948028564453125,
1189500,16.35625457763671875,
1198500,22.218902587890625,
1207500,15.86594390869140625,
1216500,15.246978759765625,
1225500,17.1103973388671875,
1234500,20.3174591064453125,
1243500,17.78347015380859375,
1252500,16.21319580078125,
1261500,14.61627960205078125,
1270500,14.077362060546875,
1279500,18.05887603759765625,
1288500,14.64756011962890625,
1297500,12.9272003173828125,
1306500,13.7705078125,
1315500,14.898590087890625,
1324500,13.79695892333984375,
1333500,13.46515655517578125,
1342500,12.90715789794921875,
1351500,12.92067718505859375,
1360500,13.8538360595703125,
1369500,15.050384521484375,
1378500,13.04712677001953125,
1387500,13.66197967529296875,
1396500,14.29553985595703125,
1405500,12.37859344482421875,
1414500,15.77628326416015625,
1423500,16.26296234130859375,
1432500,12.6904144287109375,
1441500,13.95084381103515625,
1450500,15.3863677978515625,
1459500,19.15084075927734375,
1468500,22.17450714111328125,
1477500,20.8092498779296875,
1486500,13.34283447265625,
1495500,14.7787017822265625,
1504500,17.92653656005859375,
1513500,19.83487701416015625,
1522500,20.8216705322265625,
1531500,18.360870361328125,
1540500,15.5112457275390625,
1549500,17.35430908203125,
1558500,24.33293914794921875,
1567500,17.36048126220703125,
1576500,18.97444915771484375,
1585500,20.50223541259765625,
1594500,23.6592254638671875,
1603500,22.16667938232421875,
1612500,20.43279266357421875,
1621500,18.576873779296875,
1630500,20.3320770263671875,
1639500,24.754180908203125,
1648500,20.7508087158203125,
1657500,19.73078155517578125,
1666500,19.99269866943359375,
1675500,22.704071044921875,
1684500,21.3860626220703125,
1693500,22.78804779052734375,
1702500,16.880462646484375,
1711500,19.04062652587890625,
1720500,23.22078704833984375,
1729500,19.29174041748046875,
