sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,11.4437408447265625,
163500,16.3219451904296875,
172500,10.9026641845703125,
181500,12.80762481689453125,
190500,13.7356109619140625,
199500,10.08922576904296875,
208500,8.24658203125,
217500,13.69765472412109375,
226500,13.9983367919921875,
235500,15.70949554443359375,
244500,9.6327362060546875,
253500,13.37546539306640625,
262500,14.52339935302734375,
271500,11.65985107421875,
280500,13.573150634765625,
289500,11.604644775390625,
298500,10.6943511962890625,
307500,13.72429656982421875,
316500,11.799102783203125,
325500,13.2743072509765625,
334500,14.8542327880859375,
343500,8.87502288818359375,
352500,13.0049591064453125,
361500,8.48160552978515625,
370500,9.0316162109375,
379500,12.0495147705078125,
388500,11.30623626708984375,
397500,7.4404754638671875,
406500,3.13332366943359375,
415500,4.567779541015625,
424500,5.83592987060546875,
433500,7.84741973876953125,
442500,12.5527191162109375,
451500,10.1146087646484375,
460500,10.22699737548828125,
469500,10.74294281005859375,
478500,8.86022186279296875,
487500,4.906585693359375,
496500,7.24951934814453125,
505500,8.39339447021484375,
514500,7.08843231201171875,
523500,9.04543304443359375,
532500,5.10662078857421875,
541500,2.06923675537109375,
550500,3.20024871826171875,
559500,7.4610443115234375,
568500,7.4938507080078125,
577500,6.71446990966796875,
586500,8.819061279296875,
595500,7.502593994140625,
604500,9.14527130126953125,
613500,12.6393585205078125,
622500,7.513153076171875,
631500,10.97900390625,
640500,10.21025848388671875,
649500,6.78769683837890625,
658500,7.74958038330078125,
667500,4.040252685546875,
676500,6.93100738525390625,
685500,4.42144012451171875,
694500,6.98274993896484375,
703500,4.9321136474609375,
712500,5.99150848388671875,
721500,5.1745147705078125,
730500,4.87361907958984375,
739500,6.61328125,
748500,3.91352081298828125,
757500,8.4028167724609375,
766500,5.87444305419921875,
775500,3.8120269775390625,
784500,2.83701324462890625,
793500,5.95716094970703125,
802500,5.2596435546875,
811500,5.31536102294921875,
820500,5.49942779541015625,
829500,7.7036895751953125,
838500,7.5890655517578125,
847500,7.94493865966796875,
856500,4.7547149658203125,
865500,4.31201171875,
874500,5.67720794677734375,
883500,7.73467254638671875,
892500,10.1619110107421875,
901500,5.5726165771484375,
910500,3.0635833740234375,
919500,4.4001922607421875,
928500,8.37937164306640625,
937500,6.53018951416015625,
946500,6.102142333984375,
955500,5.0474395751953125,
964500,4.00832366943359375,
973500,5.9223175048828125,
982500,0.53179931640625,
991500,1.9651947021484375,
1000500,1.56333160400390625,
1009500,0.86034393310546875,
1018500,1.0313873291015625,
1027500,-0.86222076416015625,
1036500,2.15904998779296875,
1045500,0.06708526611328125,
1054500,-0.0498046875,
1063500,-0.36516571044921875,
1072500,3.722076416015625,
1081500,1.76239776611328125,
1090500,-1.7101593017578125,
1099500,-1.9346771240234375,
1108500,-4.05202484130859375,
1117500,-2.73333740234375,
1126500,-2.5746612548828125,
1135500,-2.19242095947265625,
1144500,-3.53656768798828125,
1153500,-1.4755706787109375,
1162500,-1.17969512939453125,
1171500,-1.2995758056640625,
1180500,-2.29038238525390625,
1189500,-1.13581085205078125,
1198500,-2.22772979736328125,
1207500,0.64093017578125,
1216500,0.2813568115234375,
1225500,4.11852264404296875,
1234500,-1.01277923583984375,
1243500,-3.97750091552734375,
1252500,-3.37900543212890625,
1261500,-1.2455596923828125,
1270500,-2.00197601318359375,
1279500,-3.161834716796875,
1288500,-3.7636566162109375,
1297500,-1.58730316162109375,
1306500,-1.50174713134765625,
1315500,-1.712646484375,
1324500,-2.3888397216796875,
1333500,-2.8873443603515625,
1342500,0.79149627685546875,
1351500,-0.786224365234375,
1360500,-4.661468505859375,
1369500,-2.083465576171875,
1378500,-2.78857421875,
1387500,-3.45928955078125,
1396500,-3.8084564208984375,
1405500,-3.31976318359375,
1414500,-2.95911407470703125,
1423500,-1.17730712890625,
1432500,-1.72676849365234375,
1441500,-2.13341522216796875,
1450500,-2.422454833984375,
1459500,-2.50862884521484375,
1468500,-2.10996246337890625,
1477500,3.13164520263671875,
1486500,-0.82880401611328125,
1495500,-1.206756591796875,
1504500,-4.21002197265625,
1513500,-3.39551544189453125,
1522500,-0.92230987548828125,
1531500,-3.1332855224609375,
1540500,-3.56026458740234375,
1549500,-2.6194000244140625,
1558500,-1.619049072265625,
1567500,-3.2500152587890625,
1576500,-0.7582855224609375,
1585500,1.48236846923828125,
1594500,0.41927337646484375,
1603500,-1.14958953857421875,
1612500,1.56375885009765625,
1621500,-0.22467041015625,
1630500,-0.88262176513671875,
1639500,1.0030517578125,
1648500,0.48586273193359375,
1657500,-1.974884033203125,
1666500,-1.11606597900390625,
1675500,-1.91793060302734375,
1684500,-2.7017822265625,
