sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,87.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,705,
9100,-6.56484222412109375,
9300,-8.1350555419921875,
9500,-7.711334228515625,
9700,-4.95760345458984375,
9900,-6.22454833984375,
10100,-6.80792999267578125,
10300,-5.18099212646484375,
10500,-3.84496307373046875,
10700,-6.04522705078125,
10900,-4.90560150146484375,
11100,-4.38080596923828125,
11300,-6.47035980224609375,
11500,-6.59865570068359375,
11700,-5.5514373779296875,
11900,-4.86006927490234375,
12100,-5.32295989990234375,
12300,-5.833160400390625,
12500,-4.786346435546875,
12700,-4.63758087158203125,
12900,-5.89111328125,
13100,-4.9894256591796875,
13300,-5.86855316162109375,
13500,-5.94930267333984375,
13700,-4.09393310546875,
13900,-2.31781768798828125,
14100,-5.61255645751953125,
14300,-4.8874664306640625,
14500,-6.07622528076171875,
14700,-3.870391845703125,
14900,-4.09075927734375,
15100,-3.5041351318359375,
15300,-3.39003753662109375,
15500,-3.4294586181640625,
15700,-3.50597381591796875,
15900,-5.90488433837890625,
16100,-5.46239471435546875,
16300,-4.569000244140625,
16500,-4.084259033203125,
16700,-2.81868743896484375,
16900,-1.98956298828125,
17100,-2.26818084716796875,
17300,-1.134368896484375,
17500,-2.612548828125,
17700,-2.87950897216796875,
17900,-3.17493438720703125,
18100,-2.46697235107421875,
18300,5.54083251953125,
18500,10.6548614501953125,
18700,5.71392059326171875,
18900,0.4233245849609375,
19100,-1.2032470703125,
19300,-3.4447021484375,
19500,-2.3584442138671875,
19700,-5.7645111083984375,
19900,-3.331573486328125,
20100,-4.229400634765625,
20300,-3.60497283935546875,
20500,-3.95153045654296875,
20700,-3.50745391845703125,
20900,-4.78748321533203125,
21100,-2.4512176513671875,
21300,-1.88116455078125,
21500,-2.06256103515625,
21700,2.04227447509765625,
21900,16.53745269775390625,
22100,16.99999237060546875,
22300,4.6016082763671875,
22500,-0.62859344482421875,
22700,-1.02469635009765625,
22900,-1.58536529541015625,
23100,-2.056427001953125,
23300,-1.79013824462890625,
23500,-1.91217041015625,
23700,-1.150482177734375,
23900,-1.6029052734375,
24100,-0.263458251953125,
24300,0.8147125244140625,
24500,-0.2777099609375,
24700,-1.53981781005859375,
24900,-1.623565673828125,
25100,-0.89812469482421875,
25300,-0.72705841064453125,
25500,-0.501800537109375,
25700,-0.39483642578125,
25900,-0.6765289306640625,
26100,-3.39452362060546875,
26300,-2.47263336181640625,
26500,-3.2336578369140625,
26700,-2.00531768798828125,
26900,-1.34735107421875,
27100,-0.53012847900390625,
27300,0.17223358154296875,
27500,-2.799468994140625,
27700,-2.91625213623046875,
27900,-0.946533203125,
28100,-1.4489288330078125,
28300,-1.98935699462890625,
28500,-1.02093505859375,
28700,-1.86766815185546875,
28900,-0.77529144287109375,
29100,-2.3369293212890625,
29300,-0.88246917724609375,
29500,-0.79913330078125,
29700,-0.937744140625,
29900,-0.14141845703125,
30100,-2.0542144775390625,
30300,-2.57039642333984375,
30500,-0.451568603515625,
30700,-2.18846893310546875,
30900,-0.49437713623046875,
31100,-2.26885223388671875,
31300,-2.18627166748046875,
31500,-0.4554901123046875,
31700,-2.57382965087890625,
31900,-2.06293487548828125,
32100,-1.13433837890625,
32300,-2.41847991943359375,
32500,-1.42365264892578125,
32700,-1.72264862060546875,
32900,-3.99036407470703125,
33100,-2.11714935302734375,
33300,-4.0053558349609375,
33500,-2.183258056640625,
33700,-2.165069580078125,
33900,-1.70156097412109375,
34100,-2.38311767578125,
34300,-1.17337799072265625,
34500,-1.9895172119140625,
34700,-3.090728759765625,
34900,-2.2658538818359375,
35100,-3.6843414306640625,
35300,15.31708526611328125,
35500,16.57901763916015625,
35700,-1.438995361328125,
35900,-2.4970703125,
36100,-0.81967926025390625,
36300,-1.11341094970703125,
36500,-1.741943359375,
36700,-4.1724395751953125,
36900,0.322052001953125,
37100,5.01094818115234375,
37300,3.37622833251953125,
37500,-0.0850372314453125,
37700,-2.974853515625,
37900,-1.12384796142578125,
38100,-2.34058380126953125,
38300,-0.4922332763671875,
38500,0.69846343994140625,
38700,0.69048309326171875,
38900,-0.512908935546875,
39100,-1.50501251220703125,
39300,-0.8069915771484375,
39500,-1.988006591796875,
39700,-2.56110382080078125,
39900,2.56528472900390625,
40100,2.9371795654296875,
40300,-0.82677459716796875,
40500,-1.4842071533203125,
40700,-0.58844757080078125,
40900,-0.8605194091796875,
41100,-2.02553558349609375,
41300,-3.18376922607421875,
41500,-4.076141357421875,
41700,-3.19533538818359375,
41900,-5.4327850341796875,
42100,-3.6983642578125,
42300,-3.16606903076171875,
42500,-4.71319580078125,
42700,-2.30661773681640625,
42900,-4.14015960693359375,
43100,-2.61870574951171875,
43300,-3.4804229736328125,
